Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1807484095,1734191934.918837240,1,OK,0.6938058,0.2046760,0.3745727,0.5800315,-28.085,-218.238,-1811.660,0.3280025,3,OK,-27.941,-218.480,-1811.730,OK,-3.734,-308.418,-1814.640,OK,-72.233,-293.245,-1763.296,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1807484095,1734191934.918837240,1,OK,0.0657872,-0.2828534,-0.1299689,0.9480370,242.218,103.021,-1801.258,0.5038716,3,OK,241.938,102.780,-1801.481,OK,326.565,44.786,-1774.679,OK,258.116,10.300,-1821.628,Port 0x03: BrainLAB Black Probe  s/n:38220401,1807484095,1734191934.918837240,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1807484098,1734191934.968837240,1,OK,0.6934802,0.2049589,0.3747461,0.5802090,-27.894,-218.188,-1811.602,0.3238356,3,OK,-27.759,-218.430,-1811.665,OK,-3.502,-308.364,-1814.639,OK,-71.962,-293.229,-1763.248,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1807484098,1734191934.968837240,1,OK,0.0659666,-0.2828873,-0.1297393,0.9480459,242.394,103.156,-1801.578,0.4857476,3,OK,242.120,102.924,-1801.795,OK,326.718,44.904,-1774.974,OK,258.236,10.398,-1821.930,Port 0x03: BrainLAB Black Probe  s/n:38220401,1807484098,1734191934.968837240,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1807484101,1734191935.018837240,1,OK,0.6934106,0.2047468,0.3751621,0.5800981,-27.887,-218.289,-1811.599,0.3336555,3,OK,-27.742,-218.537,-1811.669,OK,-3.476,-308.445,-1814.572,OK,-71.922,-293.311,-1763.157,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1807484101,1734191935.018837240,1,OK,0.0659550,-0.2829534,-0.1285630,0.9481872,242.457,103.153,-1801.856,0.5015122,3,OK,242.177,102.913,-1802.078,OK,326.743,44.895,-1775.134,OK,258.247,10.357,-1821.987,Port 0x03: BrainLAB Black Probe  s/n:38220401,1807484101,1734191935.018837240,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1807484104,1734191935.068837240,1,OK,0.6932360,0.2052543,0.3751754,0.5801190,-27.806,-218.214,-1811.498,0.3150400,3,OK,-27.670,-218.448,-1811.563,OK,-3.398,-308.394,-1814.564,OK,-71.820,-293.259,-1763.080,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1807484104,1734191935.068837240,1,OK,0.0660786,-0.2825704,-0.1285679,0.9482921,242.523,103.231,-1801.928,0.4908492,3,OK,242.252,102.999,-1802.142,OK,326.806,44.965,-1775.288,OK,258.295,10.423,-1822.080,Port 0x03: BrainLAB Black Probe  s/n:38220401,1807484104,1734191935.068837240,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1807484107,1734191935.118837240,1,OK,0.6929463,0.2057006,0.3751391,0.5803304,-27.662,-218.273,-1811.464,0.2956769,3,OK,-27.541,-218.509,-1811.517,OK,-3.210,-308.462,-1814.643,OK,-71.632,-293.354,-1763.090,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1807484107,1734191935.118837240,1,OK,0.0660138,-0.2829085,-0.1280772,0.9482622,242.550,103.236,-1802.067,0.5010867,3,OK,242.273,102.995,-1802.287,OK,326.813,44.972,-1775.312,OK,258.306,10.417,-1822.115,Port 0x03: BrainLAB Black Probe  s/n:38220401,1807484107,1734191935.118837240,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1807484110,1734191935.168837240,1,OK,0.6926435,0.2055954,0.3761376,0.5800828,-27.525,-218.295,-1811.525,0.3172923,3,OK,-27.380,-218.541,-1811.596,OK,-3.039,-308.442,-1814.621,OK,-71.398,-293.356,-1762.960,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1807484110,1734191935.168837240,1,OK,0.0659963,-0.2826372,-0.1280001,0.9483547,242.597,103.290,-1802.134,0.4977278,3,OK,242.322,103.056,-1802.350,OK,326.867,45.034,-1775.427,OK,258.358,10.465,-1822.173,Port 0x03: BrainLAB Black Probe  s/n:38220401,1807484110,1734191935.168837240,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1807484113,1734191935.218837240,1,OK,0.6922213,0.2063506,0.3763332,0.5801918,-27.361,-218.302,-1811.318,0.2963811,3,OK,-27.238,-218.558,-1811.370,OK,-2.842,-308.465,-1814.560,OK,-71.155,-293.388,-1762.777,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1807484113,1734191935.218837240,1,OK,0.0659470,-0.2823608,-0.1279192,0.9484514,242.604,103.339,-1802.258,0.4880002,3,OK,242.336,103.108,-1802.470,OK,326.895,45.107,-1775.589,OK,258.363,10.502,-1822.297,Port 0x03: BrainLAB Black Probe  s/n:38220401,1807484113,1734191935.218837240,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1807484116,1734191935.268837240,1,OK,0.6921619,0.2059027,0.3765191,0.5803011,-27.245,-218.302,-1811.302,0.3084131,3,OK,-27.111,-218.536,-1811.367,OK,-2.697,-308.448,-1814.451,OK,-70.987,-293.408,-1762.727,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1807484116,1734191935.268837240,1,OK,0.0659909,-0.2832589,-0.1271272,0.9482870,242.704,103.417,-1802.513,0.4928627,3,OK,242.426,103.181,-1802.731,OK,326.929,45.160,-1775.598,OK,258.406,10.540,-1822.388,Port 0x03: BrainLAB Black Probe  s/n:38220401,1807484116,1734191935.268837240,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1807484119,1734191935.318837240,1,OK,0.6920849,0.2063556,0.3759942,0.5805724,-27.114,-218.297,-1811.126,0.3183988,3,OK,-27.002,-218.552,-1811.169,OK,-2.590,-308.445,-1814.386,OK,-70.837,-293.442,-1762.708,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1807484119,1734191935.318837240,1,OK,0.0659351,-0.2830335,-0.1269719,0.9483790,242.707,103.449,-1802.539,0.4920743,3,OK,242.434,103.212,-1802.755,OK,326.937,45.209,-1775.653,OK,258.415,10.569,-1822.388,Port 0x03: BrainLAB Black Probe  s/n:38220401,1807484119,1734191935.318837240,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1807484122,1734191935.368837240,1,OK,0.6918226,0.2066988,0.3765319,0.5804144,-27.089,-218.302,-1811.165,0.3011252,3,OK,-26.967,-218.543,-1811.219,OK,-2.543,-308.456,-1814.462,OK,-70.771,-293.453,-1762.647,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1807484122,1734191935.368837240,1,OK,0.0659067,-0.2830032,-0.1266332,0.9484353,242.717,103.508,-1802.689,0.4945032,3,OK,242.442,103.270,-1802.906,OK,326.948,45.273,-1775.773,OK,258.410,10.614,-1822.478,Port 0x03: BrainLAB Black Probe  s/n:38220401,1807484122,1734191935.368837240,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
