Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755339262,1733322854.368765525,1,OK,0.6845371,0.2370356,0.3432057,0.5978569,-50.567,20.033,-1791.291,0.1847609,3,OK,-50.565,20.024,-1791.292,OK,-25.891,-69.836,-1803.267,OK,-95.402,-59.134,-1750.609,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755339262,1733322854.368765525,1,OK,0.6976960,0.0226603,0.0261736,-0.7155569,104.577,275.963,-1809.841,0.4784916,3,OK,104.805,275.620,-1809.833,OK,150.850,370.992,-1816.551,OK,198.869,294.994,-1814.750,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755339262,1733322854.368765525,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755339265,1733322854.418765525,1,OK,0.6846176,0.2372742,0.3428252,0.5978884,-50.579,20.046,-1791.227,0.1807195,3,OK,-50.578,20.028,-1791.226,OK,-25.938,-69.818,-1803.262,OK,-95.453,-59.130,-1750.623,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755339265,1733322854.418765525,1,OK,0.6977552,0.0235571,0.0262206,-0.7154686,104.566,275.938,-1809.854,0.4757410,3,OK,104.803,275.608,-1809.847,OK,150.828,370.968,-1816.381,OK,198.856,294.993,-1814.622,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755339265,1733322854.418765525,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755339268,1733322854.468765525,1,OK,0.6846609,0.2371867,0.3427492,0.5979171,-50.567,20.042,-1791.212,0.1747613,3,OK,-50.572,20.024,-1791.207,OK,-25.926,-69.828,-1803.235,OK,-95.441,-59.126,-1750.625,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755339268,1733322854.468765525,1,OK,0.6977301,0.0241183,0.0263048,-0.7154713,104.583,275.941,-1809.943,0.4707985,3,OK,104.827,275.623,-1809.938,OK,150.847,370.967,-1816.352,OK,198.878,294.991,-1814.630,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755339268,1733322854.468765525,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755339271,1733322854.518765525,1,OK,0.6845923,0.2374385,0.3429276,0.5977935,-50.607,20.050,-1791.251,0.1932809,3,OK,-50.611,20.041,-1791.247,OK,-25.972,-69.831,-1803.310,OK,-95.488,-59.116,-1750.625,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755339271,1733322854.518765525,1,OK,0.6976256,0.0243498,0.0274835,-0.7155210,104.552,275.953,-1809.990,0.4683599,3,OK,104.795,275.644,-1809.986,OK,150.827,370.962,-1816.268,OK,198.843,295.008,-1814.763,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755339271,1733322854.518765525,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755339274,1733322854.568765525,1,OK,0.6845846,0.2369722,0.3433184,0.5977629,-50.621,20.035,-1791.331,0.1915664,3,OK,-50.608,20.025,-1791.340,OK,-25.953,-69.828,-1803.283,OK,-95.471,-59.128,-1750.610,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755339274,1733322854.568765525,1,OK,0.6976631,0.0239501,0.0263251,-0.7155415,104.563,275.965,-1809.977,0.4784061,3,OK,104.809,275.642,-1809.971,OK,150.851,370.979,-1816.418,OK,198.851,295.003,-1814.693,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755339274,1733322854.568765525,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755339277,1733322854.618765525,1,OK,0.6845586,0.2373171,0.3432231,0.5977107,-50.625,20.055,-1791.305,0.1958042,3,OK,-50.620,20.047,-1791.308,OK,-25.981,-69.819,-1803.321,OK,-95.488,-59.106,-1750.615,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755339277,1733322854.618765525,1,OK,0.6976833,0.0244910,0.0269596,-0.7154798,104.557,275.945,-1809.984,0.4687975,3,OK,104.800,275.636,-1809.979,OK,150.830,370.953,-1816.271,OK,198.850,295.011,-1814.680,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755339277,1733322854.618765525,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755339280,1733322854.668765525,1,OK,0.6846393,0.2373629,0.3429270,0.5977699,-50.613,20.057,-1791.238,0.1888760,3,OK,-50.614,20.046,-1791.237,OK,-25.986,-69.821,-1803.278,OK,-95.499,-59.107,-1750.608,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755339280,1733322854.668765525,1,OK,0.6976632,0.0243029,0.0266995,-0.7155156,104.578,275.947,-1810.011,0.4626505,3,OK,104.817,275.637,-1810.006,OK,150.852,370.957,-1816.354,OK,198.883,294.993,-1814.710,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755339280,1733322854.668765525,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755339283,1733322854.718765525,1,OK,0.6846757,0.2371119,0.3431288,0.5977122,-50.711,20.064,-1791.318,0.1978364,3,OK,-50.709,20.053,-1791.319,OK,-26.063,-69.815,-1803.305,OK,-95.597,-59.081,-1750.630,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755339283,1733322854.718765525,1,OK,0.6976638,0.0250009,0.0265999,-0.7154947,104.541,275.940,-1810.009,0.4621683,3,OK,104.799,275.652,-1810.006,OK,150.817,370.929,-1816.219,OK,198.839,294.991,-1814.584,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755339283,1733322854.718765525,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755339286,1733322854.768765528,1,OK,0.6848882,0.2370355,0.3426911,0.5977500,-50.776,20.082,-1791.320,0.1873460,3,OK,-50.777,20.063,-1791.318,OK,-26.158,-69.800,-1803.310,OK,-95.712,-59.057,-1750.708,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755339286,1733322854.768765528,1,OK,0.6977291,0.0238915,0.0254719,-0.7155099,104.551,275.955,-1809.952,0.4833843,3,OK,104.801,275.625,-1809.945,OK,150.836,370.981,-1816.466,OK,198.839,294.987,-1814.587,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755339286,1733322854.768765528,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755339289,1733322854.818765528,1,OK,0.6851571,0.2367995,0.3425775,0.5976005,-50.888,20.101,-1791.410,0.1876258,3,OK,-50.877,20.091,-1791.418,OK,-26.307,-69.787,-1803.346,OK,-95.887,-59.019,-1750.783,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755339289,1733322854.818765528,1,OK,0.6976541,0.0243733,0.0268704,-0.7155157,104.551,275.915,-1809.889,0.4654986,3,OK,104.799,275.612,-1809.885,OK,150.824,370.916,-1816.206,OK,198.846,294.964,-1814.595,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755339289,1733322854.818765528,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
