Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755991996,1733333733.268760465,1,OK,0.6776596,0.2414399,0.3514189,0.5991570,-46.946,18.973,-1790.651,0.1970834,3,OK,-46.940,18.948,-1790.653,OK,-21.537,-70.606,-1803.184,OK,-90.082,-60.684,-1749.080,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755991996,1733333733.268760465,1,OK,0.6907962,0.0096728,0.0098571,-0.7229176,108.099,276.673,-1816.040,0.4364524,3,OK,108.078,276.338,-1816.009,OK,156.376,370.173,-1826.490,OK,202.947,293.787,-1821.392,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755991996,1733333733.268760465,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755991999,1733333733.318760465,1,OK,0.6777306,0.2413323,0.3511854,0.5992569,-46.929,18.968,-1790.596,0.1768387,3,OK,-46.931,18.945,-1790.592,OK,-21.528,-70.617,-1803.118,OK,-90.064,-60.690,-1749.082,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755991999,1733333733.318760465,1,OK,0.6908778,0.0096202,0.0096398,-0.7228433,108.092,276.674,-1815.993,0.4413396,3,OK,108.075,276.338,-1815.961,OK,156.355,370.180,-1826.468,OK,202.930,293.810,-1821.330,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755991999,1733333733.318760465,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755992002,1733333733.368760465,1,OK,0.6775702,0.2414836,0.3515365,0.5991714,-46.896,18.957,-1790.607,0.2005060,3,OK,-46.894,18.929,-1790.607,OK,-21.473,-70.620,-1803.148,OK,-90.011,-60.699,-1749.022,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755992002,1733333733.368760465,1,OK,0.6908782,0.0100741,0.0092283,-0.7228421,108.094,276.679,-1816.115,0.4414095,3,OK,108.089,276.344,-1816.084,OK,156.369,370.189,-1826.529,OK,202.929,293.808,-1821.334,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755992002,1733333733.368760465,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755992005,1733333733.418760465,1,OK,0.6772333,0.2424306,0.3515298,0.5991739,-46.837,18.960,-1790.472,0.2322703,3,OK,-46.854,18.917,-1790.455,OK,-21.416,-70.624,-1803.206,OK,-89.934,-60.712,-1748.933,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755992005,1733333733.418760465,1,OK,0.6908151,0.0101520,0.0092997,-0.7229003,108.077,276.700,-1816.128,0.4359570,3,OK,108.060,276.363,-1816.097,OK,156.366,370.209,-1826.522,OK,202.930,293.811,-1821.343,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755992005,1733333733.418760465,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755992008,1733333733.468760465,1,OK,0.6773883,0.2419622,0.3511973,0.5993829,-46.770,18.944,-1790.453,0.1924704,3,OK,-46.781,18.915,-1790.441,OK,-21.349,-70.633,-1803.110,OK,-89.862,-60.750,-1748.979,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755992008,1733333733.468760465,1,OK,0.6908366,0.0097290,0.0112544,-0.7228579,108.102,276.654,-1816.032,0.4414995,3,OK,108.070,276.332,-1816.002,OK,156.350,370.147,-1826.373,OK,202.944,293.822,-1821.526,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755992008,1733333733.468760465,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755992011,1733333733.518760469,1,OK,0.6771570,0.2420076,0.3517178,0.5993207,-46.690,18.925,-1790.460,0.1941067,3,OK,-46.695,18.889,-1790.454,OK,-21.247,-70.635,-1803.097,OK,-89.716,-60.772,-1748.901,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755992011,1733333733.518760469,1,OK,0.6908991,0.0094984,0.0096442,-0.7228245,108.094,276.679,-1816.039,0.4445729,3,OK,108.082,276.333,-1816.007,OK,156.352,370.204,-1826.540,OK,202.923,293.812,-1821.395,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755992011,1733333733.518760469,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755992014,1733333733.568760469,1,OK,0.6771131,0.2415523,0.3521910,0.5992760,-46.654,18.900,-1790.551,0.1909851,3,OK,-46.646,18.872,-1790.555,OK,-21.172,-70.650,-1803.079,OK,-89.634,-60.790,-1748.885,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755992014,1733333733.568760469,1,OK,0.6908633,0.0090788,0.0099061,-0.7228605,108.098,276.687,-1815.990,0.4419260,3,OK,108.064,276.330,-1815.956,OK,156.355,370.217,-1826.558,OK,202.944,293.810,-1821.443,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755992014,1733333733.568760469,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755992017,1733333733.618760469,1,OK,0.6768868,0.2419436,0.3521008,0.5994269,-46.562,18.886,-1790.465,0.1929522,3,OK,-46.566,18.843,-1790.458,OK,-21.065,-70.656,-1803.085,OK,-89.506,-60.826,-1748.855,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755992017,1733333733.618760469,1,OK,0.6908555,0.0097874,0.0101283,-0.7228557,108.080,276.681,-1816.006,0.4370033,3,OK,108.058,276.346,-1815.975,OK,156.339,370.194,-1826.415,OK,202.924,293.816,-1821.369,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755992017,1733333733.618760469,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755992020,1733333733.668760469,1,OK,0.6767377,0.2416434,0.3526714,0.5993809,-46.445,18.868,-1790.452,0.1965856,3,OK,-46.431,18.846,-1790.461,OK,-20.905,-70.663,-1802.989,OK,-89.333,-60.855,-1748.721,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755992020,1733333733.668760469,1,OK,0.6908973,0.0103869,0.0088112,-0.7228246,108.088,276.709,-1816.149,0.4325999,3,OK,108.081,276.374,-1816.118,OK,156.362,370.233,-1826.530,OK,202.937,293.828,-1821.273,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755992020,1733333733.668760469,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1755992023,1733333733.718760469,1,OK,0.6765778,0.2420650,0.3525351,0.5994715,-46.389,18.854,-1790.416,0.1980443,3,OK,-46.390,18.830,-1790.412,OK,-20.849,-70.684,-1803.047,OK,-89.258,-60.883,-1748.745,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1755992023,1733333733.718760469,1,OK,0.6909333,0.0104849,0.0101277,-0.7227715,108.064,276.692,-1816.143,0.4325504,3,OK,108.057,276.376,-1816.114,OK,156.306,370.205,-1826.411,OK,202.904,293.855,-1821.393,Port 0x03: BrainLAB Black Probe  s/n:38220401,1755992023,1733333733.718760469,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
