Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1790474305,1733908438.418627732,1,OK,0.6441138,0.2467860,0.4276604,0.5842265,-147.454,-173.505,-1802.556,0.1888570,3,OK,-147.340,-173.613,-1802.652,OK,-119.082,-262.280,-1811.662,OK,-179.582,-251.588,-1749.583,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1790474305,1733908438.418627732,1,OK,0.2157312,0.0999454,0.1736580,-0.9556746,39.048,167.013,-1803.235,0.5421584,3,OK,38.771,166.661,-1803.367,OK,144.948,170.745,-1802.561,OK,100.345,97.784,-1830.067,Port 0x03: BrainLAB Black Probe  s/n:38220401,1790474305,1733908438.418627732,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1790474308,1733908438.468627732,1,OK,0.6440740,0.2463389,0.4279513,0.5842462,-147.409,-173.525,-1802.605,0.2115892,3,OK,-147.280,-173.626,-1802.718,OK,-119.006,-262.271,-1811.609,OK,-179.487,-251.607,-1749.571,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1790474308,1733908438.468627732,1,OK,0.2157591,0.0995275,0.1732340,-0.9557888,39.044,167.048,-1803.289,0.5420490,3,OK,38.761,166.701,-1803.419,OK,144.940,170.779,-1802.689,OK,100.339,97.797,-1830.087,Port 0x03: BrainLAB Black Probe  s/n:38220401,1790474308,1733908438.468627732,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1790474311,1733908438.518627732,1,OK,0.6439732,0.2465529,0.4280229,0.5842144,-147.371,-173.515,-1802.579,0.1988494,3,OK,-147.249,-173.610,-1802.686,OK,-118.967,-262.275,-1811.624,OK,-179.437,-251.598,-1749.543,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1790474311,1733908438.518627732,1,OK,0.2157849,0.1002206,0.1730432,-0.9557451,39.049,167.070,-1803.344,0.5390617,3,OK,38.780,166.715,-1803.477,OK,144.943,170.790,-1802.589,OK,100.353,97.800,-1830.052,Port 0x03: BrainLAB Black Probe  s/n:38220401,1790474311,1733908438.518627732,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1790474314,1733908438.568627732,1,OK,0.6440708,0.2462708,0.4280513,0.5842051,-147.401,-173.531,-1802.605,0.2125130,3,OK,-147.272,-173.633,-1802.719,OK,-118.994,-262.276,-1811.591,OK,-179.474,-251.603,-1749.548,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1790474314,1733908438.568627732,1,OK,0.2157933,0.0996532,0.1730857,-0.9557949,39.043,167.040,-1803.309,0.5454561,3,OK,38.757,166.691,-1803.440,OK,144.942,170.770,-1802.677,OK,100.344,97.784,-1830.071,Port 0x03: BrainLAB Black Probe  s/n:38220401,1790474314,1733908438.568627732,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1790474317,1733908438.618627732,1,OK,0.6441680,0.2462595,0.4279261,0.5841944,-147.398,-173.507,-1802.597,0.2106667,3,OK,-147.270,-173.604,-1802.711,OK,-119.007,-262.260,-1811.578,OK,-179.492,-251.578,-1749.559,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1790474317,1733908438.618627732,1,OK,0.2157912,0.0999096,0.1731642,-0.9557544,39.044,167.063,-1803.267,0.5412122,3,OK,38.764,166.713,-1803.398,OK,144.943,170.792,-1802.582,OK,100.349,97.805,-1830.021,Port 0x03: BrainLAB Black Probe  s/n:38220401,1790474317,1733908438.618627732,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1790474320,1733908438.668627732,1,OK,0.6439961,0.2468188,0.4278027,0.5842383,-147.393,-173.509,-1802.527,0.1881204,3,OK,-147.278,-173.610,-1802.626,OK,-119.005,-262.281,-1811.639,OK,-179.492,-251.599,-1749.536,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1790474320,1733908438.668627732,1,OK,0.2157388,0.0998037,0.1733657,-0.9557407,39.046,167.042,-1803.274,0.5392424,3,OK,38.764,166.695,-1803.404,OK,144.943,170.769,-1802.620,OK,100.344,97.790,-1830.072,Port 0x03: BrainLAB Black Probe  s/n:38220401,1790474320,1733908438.668627732,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1790474323,1733908438.718627732,1,OK,0.6440632,0.2463797,0.4279852,0.5842160,-147.399,-173.522,-1802.617,0.2029998,3,OK,-147.275,-173.624,-1802.724,OK,-118.994,-262.277,-1811.629,OK,-179.476,-251.593,-1749.579,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1790474323,1733908438.718627732,1,OK,0.2157532,0.0998330,0.1731681,-0.9557702,39.040,167.051,-1803.273,0.5452310,3,OK,38.757,166.699,-1803.404,OK,144.939,170.770,-1802.607,OK,100.338,97.795,-1830.033,Port 0x03: BrainLAB Black Probe  s/n:38220401,1790474323,1733908438.718627732,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1790474326,1733908438.768627732,1,OK,0.6440116,0.2462199,0.4282484,0.5841473,-147.379,-173.523,-1802.620,0.2141284,3,OK,-147.246,-173.616,-1802.740,OK,-118.954,-262.269,-1811.593,OK,-179.437,-251.590,-1749.516,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1790474326,1733908438.768627732,1,OK,0.2157380,0.0999383,0.1733410,-0.9557313,39.051,167.049,-1803.290,0.5379543,3,OK,38.771,166.702,-1803.420,OK,144.947,170.773,-1802.607,OK,100.351,97.793,-1830.073,Port 0x03: BrainLAB Black Probe  s/n:38220401,1790474326,1733908438.768627732,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1790474329,1733908438.818627732,1,OK,0.6440354,0.2463202,0.4278687,0.5843569,-147.335,-173.515,-1802.551,0.2003248,3,OK,-147.216,-173.609,-1802.656,OK,-118.923,-262.270,-1811.557,OK,-179.394,-251.605,-1749.554,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1790474329,1733908438.818627732,1,OK,0.2157241,0.1001939,0.1734126,-0.9556947,39.057,167.044,-1803.285,0.5357358,3,OK,38.781,166.693,-1803.417,OK,144.960,170.770,-1802.548,OK,100.354,97.783,-1830.061,Port 0x03: BrainLAB Black Probe  s/n:38220401,1790474329,1733908438.818627732,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1790474332,1733908438.868627732,1,OK,0.6439664,0.2464587,0.4278237,0.5844076,-147.285,-173.529,-1802.567,0.1995764,3,OK,-147.166,-173.623,-1802.671,OK,-118.873,-262.281,-1811.604,OK,-179.335,-251.633,-1749.590,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1790474332,1733908438.868627732,1,OK,0.2157554,0.0998116,0.1731871,-0.9557685,39.049,167.043,-1803.300,0.5410362,3,OK,38.773,166.691,-1803.432,OK,144.945,170.769,-1802.638,OK,100.343,97.784,-1830.067,Port 0x03: BrainLAB Black Probe  s/n:38220401,1790474332,1733908438.868627732,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
