Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1792142476,1733936241.268647601,1,OK,0.6448766,0.2490958,0.4186786,0.5888920,-148.264,-176.978,-1803.401,0.2693495,3,OK,-148.089,-177.041,-1803.569,OK,-119.918,-265.565,-1813.673,OK,-181.144,-256.011,-1752.096,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1792142476,1733936241.268647601,1,OK,0.2237263,0.1285559,0.3790811,-0.8886605,30.347,112.651,-1729.338,0.4755713,3,OK,30.242,112.453,-1729.529,OK,135.396,123.828,-1727.393,OK,95.537,65.840,-1782.672,Port 0x03: BrainLAB Black Probe  s/n:38220401,1792142476,1733936241.268647601,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1792142479,1733936241.318647601,1,OK,0.6450028,0.2492803,0.4184093,0.5888669,-148.322,-177.004,-1803.398,0.2556104,3,OK,-148.156,-177.079,-1803.554,OK,-119.999,-265.607,-1813.720,OK,-181.257,-256.024,-1752.135,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1792142479,1733936241.318647601,1,OK,0.2236598,0.1282506,0.3791035,-0.8887118,30.368,112.663,-1729.360,0.4702803,3,OK,30.265,112.473,-1729.544,OK,135.403,123.847,-1727.484,OK,95.539,65.848,-1782.734,Port 0x03: BrainLAB Black Probe  s/n:38220401,1792142479,1733936241.318647601,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1792142482,1733936241.368647601,1,OK,0.6449925,0.2492273,0.4185943,0.5887692,-148.361,-176.992,-1803.423,0.2687554,3,OK,-148.187,-177.070,-1803.587,OK,-120.047,-265.585,-1813.714,OK,-181.282,-256.006,-1752.121,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1792142482,1733936241.368647601,1,OK,0.2237335,0.1284194,0.3785522,-0.8889038,30.353,112.757,-1729.437,0.4940333,3,OK,30.246,112.551,-1729.635,OK,135.406,123.912,-1727.523,OK,95.533,65.893,-1782.701,Port 0x03: BrainLAB Black Probe  s/n:38220401,1792142482,1733936241.368647601,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1792142485,1733936241.418647600,1,OK,0.6448952,0.2492889,0.4186614,0.5888021,-148.320,-177.018,-1803.395,0.2630385,3,OK,-148.149,-177.088,-1803.558,OK,-119.984,-265.616,-1813.708,OK,-181.226,-256.039,-1752.084,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1792142485,1733936241.418647600,1,OK,0.2236898,0.1286850,0.3787164,-0.8888065,30.356,112.723,-1729.441,0.4798738,3,OK,30.263,112.520,-1729.638,OK,135.403,123.867,-1727.469,OK,95.540,65.860,-1782.715,Port 0x03: BrainLAB Black Probe  s/n:38220401,1792142485,1733936241.418647600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1792142488,1733936241.468647600,1,OK,0.6448517,0.2493627,0.4185055,0.5889292,-148.193,-177.000,-1803.381,0.2596477,3,OK,-148.025,-177.076,-1803.539,OK,-119.863,-265.591,-1813.713,OK,-181.085,-256.040,-1752.125,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1792142488,1733936241.468647600,1,OK,0.2236674,0.1283807,0.3785913,-0.8889094,30.411,112.778,-1729.432,0.4772637,3,OK,30.309,112.583,-1729.620,OK,135.453,123.930,-1727.525,OK,95.586,65.897,-1782.724,Port 0x03: BrainLAB Black Probe  s/n:38220401,1792142488,1733936241.468647600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1792142491,1733936241.518647601,1,OK,0.6445393,0.2498325,0.4188829,0.5888038,-148.116,-177.024,-1803.363,0.2495069,3,OK,-147.954,-177.092,-1803.517,OK,-119.774,-265.629,-1813.776,OK,-180.957,-256.066,-1752.061,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1792142491,1733936241.518647601,1,OK,0.2236692,0.1285713,0.3785696,-0.8888907,30.397,112.798,-1729.540,0.4799941,3,OK,30.303,112.594,-1729.738,OK,135.447,123.941,-1727.590,OK,95.570,65.913,-1782.808,Port 0x03: BrainLAB Black Probe  s/n:38220401,1792142491,1733936241.518647601,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1792142494,1733936241.568647601,1,OK,0.6444324,0.2493750,0.4192992,0.5888184,-148.068,-177.002,-1803.359,0.2712380,3,OK,-147.892,-177.066,-1803.528,OK,-119.693,-265.574,-1813.656,OK,-180.830,-256.041,-1751.985,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1792142494,1733936241.568647601,1,OK,0.2235540,0.1283746,0.3781569,-0.8891237,30.430,112.937,-1729.628,0.4921379,3,OK,30.323,112.730,-1729.827,OK,135.491,124.046,-1727.730,OK,95.578,65.994,-1782.860,Port 0x03: BrainLAB Black Probe  s/n:38220401,1792142494,1733936241.568647601,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1792142497,1733936241.618647601,1,OK,0.6441875,0.2498459,0.4195102,0.5887366,-147.973,-177.037,-1803.385,0.2655697,3,OK,-147.801,-177.108,-1803.550,OK,-119.596,-265.614,-1813.771,OK,-180.707,-256.083,-1751.993,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1792142497,1733936241.618647601,1,OK,0.2235403,0.1285008,0.3778134,-0.8892549,30.480,112.991,-1729.771,0.4874614,3,OK,30.383,112.784,-1729.971,OK,135.538,124.077,-1727.841,OK,95.629,65.992,-1782.954,Port 0x03: BrainLAB Black Probe  s/n:38220401,1792142497,1733936241.618647601,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1792142500,1733936241.668647600,1,OK,0.6441941,0.2498056,0.4191902,0.5889743,-147.941,-177.006,-1803.351,0.2534695,3,OK,-147.776,-177.071,-1803.508,OK,-119.552,-265.583,-1813.755,OK,-180.674,-256.078,-1752.038,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1792142500,1733936241.668647600,1,OK,0.2235379,0.1281847,0.3776470,-0.8893718,30.495,113.042,-1729.792,0.4951909,3,OK,30.382,112.840,-1729.986,OK,135.553,124.133,-1727.934,OK,95.638,66.032,-1782.979,Port 0x03: BrainLAB Black Probe  s/n:38220401,1792142500,1733936241.668647600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1792142503,1733936241.718647600,1,OK,0.6442639,0.2496021,0.4192789,0.5889211,-147.945,-177.035,-1803.363,0.2619540,3,OK,-147.776,-177.102,-1803.526,OK,-119.558,-265.606,-1813.716,OK,-180.678,-256.093,-1752.022,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1792142503,1733936241.718647600,1,OK,0.2235295,0.1284626,0.3776531,-0.8893313,30.486,113.033,-1729.812,0.4899943,3,OK,30.384,112.830,-1730.008,OK,135.541,124.106,-1727.895,OK,95.641,66.014,-1782.978,Port 0x03: BrainLAB Black Probe  s/n:38220401,1792142503,1733936241.718647600,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
