Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1795868599,1733998343.318622701,1,OK,0.6319420,-0.2075837,0.3730754,-0.6468176,-160.250,162.007,-1812.337,0.2222896,3,OK,-160.201,162.146,-1812.382,OK,-174.863,240.674,-1763.355,OK,-130.601,253.480,-1837.099,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1795868599,1733998343.318622701,1,OK,0.9935328,-0.0602967,-0.0960957,0.0047416,122.121,-195.889,-1862.524,0.4666220,3,OK,122.484,-195.739,-1862.429,OK,31.021,-155.816,-1898.737,OK,102.732,-103.841,-1883.559,Port 0x03: BrainLAB Black Probe  s/n:38220401,1795868599,1733998343.318622701,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1795868602,1733998343.368622701,1,OK,0.6320497,-0.2072925,0.3732106,-0.6467278,-160.269,162.029,-1812.428,0.2238564,3,OK,-160.209,162.167,-1812.493,OK,-174.903,240.684,-1763.375,OK,-130.613,253.498,-1837.128,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1795868602,1733998343.368622701,1,OK,0.9935461,-0.0606634,-0.0957259,0.0047503,122.126,-195.858,-1862.472,0.4627392,3,OK,122.481,-195.707,-1862.380,OK,31.014,-155.804,-1898.643,OK,102.729,-103.823,-1883.561,Port 0x03: BrainLAB Black Probe  s/n:38220401,1795868602,1733998343.368622701,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1795868605,1733998343.418622701,1,OK,0.6321066,-0.2073562,0.3728924,-0.6468353,-160.247,162.028,-1812.407,0.2304148,3,OK,-160.197,162.155,-1812.455,OK,-174.891,240.698,-1763.438,OK,-130.598,253.508,-1837.125,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1795868605,1733998343.418622701,1,OK,0.9935100,-0.0600345,-0.0964891,0.0048585,122.133,-195.857,-1862.474,0.4731849,3,OK,122.496,-195.699,-1862.380,OK,31.049,-155.793,-1898.737,OK,102.728,-103.817,-1883.477,Port 0x03: BrainLAB Black Probe  s/n:38220401,1795868605,1733998343.418622701,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1795868608,1733998343.468622701,1,OK,0.6320941,-0.2070783,0.3730972,-0.6468185,-160.269,162.001,-1812.432,0.2421911,3,OK,-160.211,162.132,-1812.495,OK,-174.896,240.659,-1763.408,OK,-130.601,253.467,-1837.082,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1795868608,1733998343.468622701,1,OK,0.9935716,-0.0604407,-0.0956019,0.0047540,122.139,-195.888,-1862.489,0.4538645,3,OK,122.483,-195.735,-1862.401,OK,31.022,-155.831,-1898.616,OK,102.737,-103.839,-1883.532,Port 0x03: BrainLAB Black Probe  s/n:38220401,1795868608,1733998343.468622701,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1795868611,1733998343.518622701,1,OK,0.6319942,-0.2074331,0.3730666,-0.6468200,-160.287,162.043,-1812.390,0.2234541,3,OK,-160.236,162.187,-1812.436,OK,-174.910,240.699,-1763.393,OK,-130.628,253.514,-1837.128,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1795868611,1733998343.518622701,1,OK,0.9934532,-0.0610377,-0.0964490,0.0047666,122.088,-195.820,-1862.363,0.4727876,3,OK,122.461,-195.679,-1862.263,OK,31.013,-155.787,-1898.703,OK,102.711,-103.802,-1883.551,Port 0x03: BrainLAB Black Probe  s/n:38220401,1795868611,1733998343.518622701,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1795868614,1733998343.568622701,1,OK,0.6319279,-0.2073079,0.3734677,-0.6466935,-160.266,162.023,-1812.421,0.2219909,3,OK,-160.201,162.165,-1812.492,OK,-174.868,240.671,-1763.324,OK,-130.598,253.485,-1837.116,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1795868614,1733998343.568622701,1,OK,0.9934864,-0.0609845,-0.0961398,0.0047790,122.123,-195.850,-1862.376,0.4689734,3,OK,122.491,-195.707,-1862.278,OK,31.027,-155.818,-1898.654,OK,102.737,-103.828,-1883.542,Port 0x03: BrainLAB Black Probe  s/n:38220401,1795868614,1733998343.568622701,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1795868617,1733998343.618622701,1,OK,0.6319385,-0.2075178,0.3732130,-0.6467628,-160.215,162.017,-1812.369,0.2123341,3,OK,-160.160,162.158,-1812.424,OK,-174.833,240.675,-1763.336,OK,-130.557,253.488,-1837.124,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1795868617,1733998343.618622701,1,OK,0.9934751,-0.0611674,-0.0961422,0.0047302,122.119,-195.844,-1862.367,0.4706761,3,OK,122.491,-195.706,-1862.268,OK,31.032,-155.808,-1898.661,OK,102.739,-103.826,-1883.568,Port 0x03: BrainLAB Black Probe  s/n:38220401,1795868617,1733998343.618622701,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1795868620,1733998343.668622701,1,OK,0.6319257,-0.2073702,0.3733491,-0.6467441,-160.213,162.046,-1812.404,0.2293807,3,OK,-160.153,162.192,-1812.466,OK,-174.811,240.698,-1763.352,OK,-130.552,253.507,-1837.109,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1795868620,1733998343.668622701,1,OK,0.9935111,-0.0605314,-0.0961722,0.0047412,122.118,-195.842,-1862.446,0.4726689,3,OK,122.485,-195.690,-1862.351,OK,31.025,-155.778,-1898.693,OK,102.733,-103.811,-1883.528,Port 0x03: BrainLAB Black Probe  s/n:38220401,1795868620,1733998343.668622701,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1795868623,1733998343.718622701,1,OK,0.6317486,-0.2077105,0.3732197,-0.6468826,-160.179,162.022,-1812.327,0.2209469,3,OK,-160.128,162.180,-1812.370,OK,-174.753,240.687,-1763.338,OK,-130.509,253.475,-1837.124,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1795868623,1733998343.718622701,1,OK,0.9935248,-0.0609232,-0.0957830,0.0047438,122.113,-195.864,-1862.430,0.4701208,3,OK,122.481,-195.721,-1862.332,OK,30.998,-155.816,-1898.637,OK,102.718,-103.839,-1883.571,Port 0x03: BrainLAB Black Probe  s/n:38220401,1795868623,1733998343.718622701,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1795868626,1733998343.768622701,1,OK,0.6318193,-0.2074988,0.3731953,-0.6468956,-160.125,162.043,-1812.348,0.2352624,3,OK,-160.072,162.184,-1812.399,OK,-174.698,240.716,-1763.360,OK,-130.454,253.499,-1837.085,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1795868626,1733998343.768622701,1,OK,0.9935047,-0.0607609,-0.0960901,0.0048101,122.123,-195.835,-1862.403,0.4636731,3,OK,122.486,-195.690,-1862.308,OK,31.022,-155.801,-1898.652,OK,102.729,-103.801,-1883.526,Port 0x03: BrainLAB Black Probe  s/n:38220401,1795868626,1733998343.768622701,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
