Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1796809336,1734014022.268628579,1,OK,0.6487848,-0.2025259,0.3510188,-0.6440865,-168.772,160.742,-1816.708,0.1837627,3,OK,-168.730,160.893,-1816.741,OK,-188.031,239.494,-1769.493,OK,-140.765,252.788,-1841.404,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1796809336,1734014022.268628579,1,OK,0.9804863,-0.1663886,-0.1046744,0.0021907,116.171,-190.062,-1815.660,0.4522308,3,OK,116.520,-189.943,-1815.580,OK,26.894,-156.518,-1861.590,OK,99.556,-104.094,-1856.058,Port 0x03: BrainLAB Black Probe  s/n:38220401,1796809336,1734014022.268628579,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1796809339,1734014022.318628579,1,OK,0.6487373,-0.2025182,0.3510191,-0.6441366,-168.829,160.736,-1816.687,0.1745656,3,OK,-168.787,160.886,-1816.722,OK,-188.087,239.493,-1769.463,OK,-140.803,252.779,-1841.401,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1796809339,1734014022.318628579,1,OK,0.9805435,-0.1658008,-0.1050685,0.0022779,116.137,-190.077,-1815.737,0.4616612,3,OK,116.494,-189.947,-1815.659,OK,26.865,-156.516,-1861.700,OK,99.521,-104.082,-1856.041,Port 0x03: BrainLAB Black Probe  s/n:38220401,1796809339,1734014022.318628579,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1796809342,1734014022.368628579,1,OK,0.6489719,-0.2022206,0.3506117,-0.6442156,-168.815,160.704,-1816.633,0.2141648,3,OK,-168.771,160.846,-1816.671,OK,-188.102,239.478,-1769.489,OK,-140.811,252.740,-1841.269,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1796809342,1734014022.368628579,1,OK,0.9804566,-0.1662189,-0.1052192,0.0022238,116.140,-190.065,-1815.637,0.4573687,3,OK,116.500,-189.945,-1815.553,OK,26.885,-156.532,-1861.658,OK,99.552,-104.090,-1856.022,Port 0x03: BrainLAB Black Probe  s/n:38220401,1796809342,1734014022.368628579,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1796809345,1734014022.418628579,1,OK,0.6489606,-0.2018617,0.3510014,-0.6441273,-168.869,160.731,-1816.712,0.2122410,3,OK,-168.812,160.874,-1816.771,OK,-188.144,239.485,-1769.455,OK,-140.836,252.762,-1841.266,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1796809345,1734014022.418628579,1,OK,0.9805328,-0.1658786,-0.1050452,0.0022714,116.158,-190.051,-1815.645,0.4583156,3,OK,116.509,-189.918,-1815.569,OK,26.890,-156.498,-1861.606,OK,99.545,-104.062,-1855.960,Port 0x03: BrainLAB Black Probe  s/n:38220401,1796809345,1734014022.418628579,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1796809348,1734014022.468628579,1,OK,0.6490115,-0.2017120,0.3507391,-0.6442658,-168.834,160.721,-1816.730,0.2337743,3,OK,-168.781,160.867,-1816.781,OK,-188.107,239.483,-1769.539,OK,-140.793,252.744,-1841.258,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1796809348,1734014022.468628579,1,OK,0.9804865,-0.1662932,-0.1048233,0.0022218,116.180,-190.060,-1815.626,0.4528307,3,OK,116.525,-189.931,-1815.552,OK,26.910,-156.523,-1861.575,OK,99.570,-104.093,-1856.009,Port 0x03: BrainLAB Black Probe  s/n:38220401,1796809348,1734014022.468628579,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1796809351,1734014022.518628579,1,OK,0.6489160,-0.2019549,0.3509218,-0.6441864,-168.917,160.738,-1816.738,0.2058178,3,OK,-168.866,160.878,-1816.789,OK,-188.186,239.496,-1769.509,OK,-140.878,252.772,-1841.322,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1796809351,1734014022.518628579,1,OK,0.9805681,-0.1658639,-0.1047376,0.0023114,116.173,-190.048,-1815.720,0.4397795,3,OK,116.500,-189.906,-1815.657,OK,26.889,-156.510,-1861.613,OK,99.551,-104.047,-1856.021,Port 0x03: BrainLAB Black Probe  s/n:38220401,1796809351,1734014022.518628579,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1796809354,1734014022.568628579,1,OK,0.6491497,-0.2020344,0.3505650,-0.6441202,-169.040,160.694,-1816.760,0.1901769,3,OK,-168.995,160.830,-1816.804,OK,-188.386,239.452,-1769.565,OK,-141.031,252.749,-1841.384,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1796809354,1734014022.568628579,1,OK,0.9804228,-0.1665396,-0.1050268,0.0022444,116.136,-190.013,-1815.640,0.4459886,3,OK,116.494,-189.913,-1815.550,OK,26.873,-156.504,-1861.646,OK,99.536,-104.040,-1856.085,Port 0x03: BrainLAB Black Probe  s/n:38220401,1796809354,1734014022.568628579,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1796809357,1734014022.618628579,1,OK,0.6495834,-0.2020303,0.3498637,-0.6440657,-169.163,160.683,-1816.773,0.1893372,3,OK,-169.127,160.820,-1816.801,OK,-188.628,239.438,-1769.673,OK,-141.208,252.762,-1841.424,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1796809357,1734014022.618628579,1,OK,0.9805384,-0.1660850,-0.1046652,0.0023208,116.180,-189.981,-1815.699,0.4429044,3,OK,116.515,-189.853,-1815.628,OK,26.894,-156.450,-1861.597,OK,99.544,-103.993,-1856.043,Port 0x03: BrainLAB Black Probe  s/n:38220401,1796809357,1734014022.618628579,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1796809360,1734014022.668628579,1,OK,0.6498677,-0.2014806,0.3498930,-0.6439351,-169.288,160.659,-1816.881,0.2080017,3,OK,-169.236,160.804,-1816.931,OK,-188.804,239.391,-1769.712,OK,-141.338,252.733,-1841.408,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1796809360,1734014022.668628579,1,OK,0.9805799,-0.1654178,-0.1053264,0.0025304,116.251,-189.968,-1815.743,0.4619400,3,OK,116.604,-189.823,-1815.671,OK,26.966,-156.442,-1861.719,OK,99.608,-103.962,-1855.984,Port 0x03: BrainLAB Black Probe  s/n:38220401,1796809360,1734014022.668628579,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1796809363,1734014022.718628579,1,OK,0.6500867,-0.2018078,0.3494794,-0.6438362,-169.419,160.635,-1816.838,0.1786868,3,OK,-169.380,160.778,-1816.869,OK,-189.021,239.362,-1769.725,OK,-141.513,252.739,-1841.464,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1796809363,1734014022.718628579,1,OK,0.9804500,-0.1663506,-0.1050691,0.0023934,116.234,-189.889,-1815.581,0.4472895,3,OK,116.580,-189.769,-1815.503,OK,26.968,-156.398,-1861.574,OK,99.609,-103.924,-1855.988,Port 0x03: BrainLAB Black Probe  s/n:38220401,1796809363,1734014022.718628579,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
