Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1800937216,1734082820.268593582,1,OK,0.6773694,-0.1951474,0.3112454,-0.6373496,-186.801,162.006,-1818.779,0.1728802,3,OK,-186.760,162.154,-1818.821,OK,-214.085,240.600,-1775.367,OK,-162.064,254.911,-1843.766,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1800937216,1734082820.268593582,1,OK,0.9554931,-0.1324586,-0.0951420,0.2458365,159.177,-177.584,-1833.234,0.3397493,3,OK,159.503,-177.436,-1833.133,OK,60.665,-190.551,-1869.907,OK,100.642,-109.723,-1869.457,Port 0x03: BrainLAB Black Probe  s/n:38220401,1800937216,1734082820.268593582,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1800937219,1734082820.318593582,1,OK,0.6772884,-0.1954845,0.3112391,-0.6373355,-186.751,162.016,-1818.703,0.1574023,3,OK,-186.718,162.157,-1818.734,OK,-214.027,240.615,-1775.313,OK,-162.027,254.930,-1843.760,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1800937219,1734082820.318593582,1,OK,0.9555044,-0.1328926,-0.0946072,0.2457650,159.202,-177.564,-1833.265,0.3234441,3,OK,159.515,-177.429,-1833.167,OK,60.681,-190.527,-1869.837,OK,100.653,-109.715,-1869.519,Port 0x03: BrainLAB Black Probe  s/n:38220401,1800937219,1734082820.318593582,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1800937222,1734082820.368593582,1,OK,0.6773734,-0.1956918,0.3106765,-0.6374560,-186.669,162.008,-1818.605,0.1690703,3,OK,-186.651,162.156,-1818.616,OK,-213.970,240.621,-1775.349,OK,-161.967,254.919,-1843.730,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1800937222,1734082820.368593582,1,OK,0.9554942,-0.1326426,-0.0950311,0.2457759,159.175,-177.585,-1833.225,0.3376585,3,OK,159.503,-177.446,-1833.121,OK,60.670,-190.535,-1869.880,OK,100.636,-109.732,-1869.472,Port 0x03: BrainLAB Black Probe  s/n:38220401,1800937222,1734082820.368593582,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1800937225,1734082820.418593582,1,OK,0.6771220,-0.1956124,0.3112621,-0.6374618,-186.644,162.038,-1818.676,0.1655348,3,OK,-186.617,162.188,-1818.699,OK,-213.873,240.647,-1775.319,OK,-161.903,254.940,-1843.759,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1800937225,1734082820.418593582,1,OK,0.9555482,-0.1325758,-0.0945418,0.2457909,159.196,-177.597,-1833.293,0.3250638,3,OK,159.501,-177.455,-1833.199,OK,60.669,-190.539,-1869.843,OK,100.635,-109.745,-1869.487,Port 0x03: BrainLAB Black Probe  s/n:38220401,1800937225,1734082820.418593582,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1800937228,1734082820.468593582,1,OK,0.6771127,-0.1950546,0.3116280,-0.6374638,-186.625,162.062,-1818.747,0.1921563,3,OK,-186.578,162.218,-1818.796,OK,-213.823,240.664,-1775.298,OK,-161.851,254.944,-1843.689,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1800937228,1734082820.468593582,1,OK,0.9554471,-0.1329337,-0.0951613,0.2457515,159.163,-177.571,-1833.248,0.3405361,3,OK,159.495,-177.434,-1833.142,OK,60.674,-190.527,-1869.937,OK,100.636,-109.739,-1869.555,Port 0x03: BrainLAB Black Probe  s/n:38220401,1800937228,1734082820.468593582,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1800937231,1734082820.518593582,1,OK,0.6772650,-0.1954497,0.3107181,-0.6376252,-186.597,162.026,-1818.644,0.1972205,3,OK,-186.576,162.174,-1818.660,OK,-213.844,240.657,-1775.405,OK,-161.866,254.917,-1843.707,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1800937231,1734082820.518593582,1,OK,0.9555084,-0.1323233,-0.0951046,0.2458645,159.176,-177.609,-1833.291,0.3396606,3,OK,159.505,-177.466,-1833.188,OK,60.667,-190.563,-1869.952,OK,100.623,-109.747,-1869.492,Port 0x03: BrainLAB Black Probe  s/n:38220401,1800937231,1734082820.518593582,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1800937234,1734082820.568593582,1,OK,0.6771747,-0.1957065,0.3110986,-0.6374567,-186.579,162.057,-1818.660,0.1685881,3,OK,-186.555,162.200,-1818.679,OK,-213.820,240.673,-1775.344,OK,-161.858,254.963,-1843.760,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1800937234,1734082820.568593582,1,OK,0.9555551,-0.1323202,-0.0947134,0.2458355,159.195,-177.573,-1833.288,0.3334700,3,OK,159.514,-177.430,-1833.188,OK,60.665,-190.514,-1869.868,OK,100.628,-109.708,-1869.455,Port 0x03: BrainLAB Black Probe  s/n:38220401,1800937234,1734082820.568593582,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1800937237,1734082820.618593582,1,OK,0.6770927,-0.1954467,0.3112204,-0.6375640,-186.586,162.045,-1818.684,0.1795733,3,OK,-186.561,162.192,-1818.705,OK,-213.790,240.659,-1775.349,OK,-161.828,254.943,-1843.731,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1800937237,1734082820.618593582,1,OK,0.9555530,-0.1324832,-0.0946476,0.2457815,159.182,-177.601,-1833.295,0.3283910,3,OK,159.499,-177.465,-1833.195,OK,60.654,-190.541,-1869.866,OK,100.621,-109.734,-1869.485,Port 0x03: BrainLAB Black Probe  s/n:38220401,1800937237,1734082820.618593582,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1800937240,1734082820.668593582,1,OK,0.6770607,-0.1954926,0.3113185,-0.6375361,-186.564,162.063,-1818.683,0.1753363,3,OK,-186.534,162.205,-1818.711,OK,-213.765,240.684,-1775.327,OK,-161.808,254.959,-1843.732,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1800937240,1734082820.668593582,1,OK,0.9555516,-0.1330509,-0.0941455,0.2456730,159.207,-177.578,-1833.294,0.3154072,3,OK,159.511,-177.448,-1833.199,OK,60.666,-190.520,-1869.778,OK,100.649,-109.727,-1869.538,Port 0x03: BrainLAB Black Probe  s/n:38220401,1800937240,1734082820.668593582,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1800937243,1734082820.718593582,1,OK,0.6769986,-0.1960209,0.3112620,-0.6374673,-186.534,162.060,-1818.593,0.1510784,3,OK,-186.519,162.208,-1818.600,OK,-213.747,240.672,-1775.266,OK,-161.802,254.972,-1843.764,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1800937243,1734082820.718593582,1,OK,0.9555636,-0.1323397,-0.0946346,0.2458225,159.191,-177.591,-1833.347,0.3300506,3,OK,159.500,-177.446,-1833.252,OK,60.666,-190.522,-1869.911,OK,100.623,-109.735,-1869.509,Port 0x03: BrainLAB Black Probe  s/n:38220401,1800937243,1734082820.718593582,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
