Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801794412,1734097106.868607556,1,OK,0.6739566,-0.2008377,0.3092336,-0.6401729,-185.671,162.093,-1821.972,0.2023337,3,OK,-185.621,162.234,-1822.029,OK,-212.394,241.388,-1779.489,OK,-160.748,254.539,-1848.299,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801794412,1734097106.868607556,1,OK,0.9468122,-0.2082059,-0.0856403,0.2299189,148.146,-179.542,-1804.066,0.4065619,3,OK,148.556,-179.387,-1803.946,OK,49.921,-193.724,-1841.208,OK,93.479,-115.522,-1851.540,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801794412,1734097106.868607556,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801794415,1734097106.918607556,1,OK,0.6741509,-0.2010685,0.3085454,-0.6402279,-185.704,162.056,-1821.845,0.1976305,3,OK,-185.675,162.196,-1821.874,OK,-212.486,241.354,-1779.504,OK,-160.816,254.521,-1848.257,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801794415,1734097106.918607556,1,OK,0.9467550,-0.2083914,-0.0856735,0.2299740,148.169,-179.472,-1803.922,0.4051211,3,OK,148.571,-179.310,-1803.809,OK,49.952,-193.680,-1841.071,OK,93.508,-115.481,-1851.422,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801794415,1734097106.918607556,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801794418,1734097106.968607556,1,OK,0.6744908,-0.2006719,0.3081837,-0.6401686,-185.811,162.018,-1821.856,0.2152674,3,OK,-185.778,162.151,-1821.889,OK,-212.661,241.305,-1779.546,OK,-160.946,254.494,-1848.193,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801794418,1734097106.968607556,1,OK,0.9468334,-0.2078210,-0.0858474,0.2301025,148.176,-179.476,-1803.866,0.4156525,3,OK,148.582,-179.304,-1803.755,OK,49.954,-193.675,-1841.037,OK,93.496,-115.465,-1851.283,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801794418,1734097106.968607556,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801794421,1734097107.018607556,1,OK,0.6743705,-0.2011855,0.3081216,-0.6401640,-185.782,162.034,-1821.830,0.1892921,3,OK,-185.760,162.173,-1821.849,OK,-212.635,241.326,-1779.550,OK,-160.929,254.513,-1848.291,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801794421,1734097107.018607556,1,OK,0.9467769,-0.2082078,-0.0855961,0.2300791,148.164,-179.473,-1803.939,0.4083029,3,OK,148.566,-179.308,-1803.827,OK,49.941,-193.682,-1841.067,OK,93.477,-115.488,-1851.402,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801794421,1734097107.018607556,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801794424,1734097107.068607555,1,OK,0.6744474,-0.2004242,0.3083935,-0.6401908,-185.834,162.040,-1821.920,0.2227831,3,OK,-185.790,162.174,-1821.969,OK,-212.667,241.330,-1779.555,OK,-160.945,254.503,-1848.198,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801794424,1734097107.068607555,1,OK,0.9467656,-0.2084382,-0.0855281,0.2299419,148.146,-179.457,-1803.869,0.3984351,3,OK,148.536,-179.294,-1803.762,OK,49.927,-193.657,-1840.989,OK,93.485,-115.468,-1851.364,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801794424,1734097107.068607555,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801794427,1734097107.118607556,1,OK,0.6743702,-0.2010871,0.3084239,-0.6400496,-185.815,162.027,-1821.884,0.1802957,3,OK,-185.786,162.163,-1821.914,OK,-212.667,241.307,-1779.528,OK,-160.961,254.512,-1848.308,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801794427,1734097107.118607556,1,OK,0.9468268,-0.2079714,-0.0856428,0.2300699,148.170,-179.462,-1803.882,0.4043617,3,OK,148.559,-179.288,-1803.778,OK,49.946,-193.661,-1841.011,OK,93.492,-115.457,-1851.305,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801794427,1734097107.118607556,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801794430,1734097107.168607556,1,OK,0.6744509,-0.2006742,0.3082852,-0.6401610,-185.833,162.020,-1821.880,0.2084471,3,OK,-185.800,162.155,-1821.915,OK,-212.678,241.305,-1779.546,OK,-160.960,254.496,-1848.219,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801794430,1734097107.168607556,1,OK,0.9467469,-0.2084490,-0.0855052,0.2300179,148.180,-179.452,-1803.901,0.4054629,3,OK,148.578,-179.287,-1803.791,OK,49.953,-193.667,-1841.017,OK,93.507,-115.478,-1851.394,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801794430,1734097107.168607556,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801794433,1734097107.218607556,1,OK,0.6745223,-0.2006665,0.3080524,-0.6402002,-185.780,162.027,-1821.829,0.2215603,3,OK,-185.751,162.165,-1821.858,OK,-212.637,241.315,-1779.547,OK,-160.919,254.500,-1848.171,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801794433,1734097107.218607556,1,OK,0.9468509,-0.2078736,-0.0855029,0.2301113,148.188,-179.472,-1803.907,0.4053817,3,OK,148.577,-179.296,-1803.804,OK,49.954,-193.667,-1841.006,OK,93.493,-115.466,-1851.303,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801794433,1734097107.218607556,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801794436,1734097107.268607556,1,OK,0.6744342,-0.2009548,0.3081055,-0.6401771,-185.783,162.025,-1821.783,0.2059452,3,OK,-185.756,162.161,-1821.809,OK,-212.635,241.320,-1779.501,OK,-160.929,254.499,-1848.186,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801794436,1734097107.268607556,1,OK,0.9468238,-0.2079657,-0.0855667,0.2301158,148.161,-179.467,-1803.901,0.4094988,3,OK,148.554,-179.289,-1803.798,OK,49.926,-193.674,-1841.017,OK,93.474,-115.471,-1851.315,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801794436,1734097107.268607556,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801794439,1734097107.318607555,1,OK,0.6743840,-0.2007070,0.3085199,-0.6401080,-185.821,162.032,-1821.875,0.2052577,3,OK,-185.781,162.164,-1821.920,OK,-212.651,241.318,-1779.495,OK,-160.948,254.503,-1848.205,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801794439,1734097107.318607555,1,OK,0.9468370,-0.2079685,-0.0856556,0.2300258,148.164,-179.477,-1803.899,0.4102691,3,OK,148.562,-179.303,-1803.792,OK,49.936,-193.664,-1841.036,OK,93.491,-115.469,-1851.323,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801794439,1734097107.318607555,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
