Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801694884,1734095448.068607227,1,OK,0.6717774,-0.1969171,0.3144762,-0.6411268,-183.809,162.043,-1817.628,0.1792839,3,OK,-183.775,162.177,-1817.660,OK,-209.718,241.085,-1774.239,OK,-158.153,254.581,-1843.075,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801694884,1734095448.068607227,1,OK,0.9513665,-0.1799016,-0.0875118,0.2342626,151.735,-181.541,-1813.831,0.3639321,3,OK,152.110,-181.416,-1813.714,OK,53.271,-194.832,-1850.530,OK,95.746,-115.614,-1857.039,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801694884,1734095448.068607227,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801694887,1734095448.118607227,1,OK,0.6718357,-0.1967991,0.3144810,-0.6410995,-183.810,162.053,-1817.699,0.1890966,3,OK,-183.773,162.191,-1817.735,OK,-209.725,241.090,-1774.303,OK,-158.160,254.587,-1843.114,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801694887,1734095448.118607227,1,OK,0.9513473,-0.1798621,-0.0877311,0.2342886,151.721,-181.555,-1813.845,0.3755839,3,OK,152.112,-181.428,-1813.722,OK,53.257,-194.859,-1850.591,OK,95.741,-115.628,-1857.064,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801694887,1734095448.118607227,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801694890,1734095448.168607227,1,OK,0.6718405,-0.1969304,0.3144656,-0.6410617,-183.834,162.046,-1817.673,0.1780817,3,OK,-183.801,162.182,-1817.703,OK,-209.758,241.079,-1774.280,OK,-158.192,254.590,-1843.118,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801694890,1734095448.168607227,1,OK,0.9514527,-0.1792766,-0.0875151,0.2343900,151.727,-181.562,-1813.867,0.3650623,3,OK,152.092,-181.421,-1813.759,OK,53.248,-194.848,-1850.548,OK,95.721,-115.611,-1856.966,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801694890,1734095448.168607227,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801694893,1734095448.218607227,1,OK,0.6718418,-0.1967657,0.3145260,-0.6410813,-183.828,162.041,-1817.672,0.1893189,3,OK,-183.789,162.178,-1817.711,OK,-209.743,241.077,-1774.264,OK,-158.178,254.575,-1843.077,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801694893,1734095448.218607227,1,OK,0.9513468,-0.1798722,-0.0877485,0.2342764,151.716,-181.548,-1813.780,0.3725737,3,OK,152.101,-181.423,-1813.659,OK,53.266,-194.839,-1850.528,OK,95.733,-115.629,-1857.002,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801694893,1734095448.218607227,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801694896,1734095448.268607227,1,OK,0.6717955,-0.1968789,0.3146287,-0.6410447,-183.805,162.046,-1817.684,0.1781920,3,OK,-183.767,162.183,-1817.721,OK,-209.716,241.077,-1774.257,OK,-158.155,254.586,-1843.111,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801694896,1734095448.268607227,1,OK,0.9514274,-0.1795419,-0.0874742,0.2343049,151.745,-181.558,-1813.867,0.3701443,3,OK,152.117,-181.422,-1813.755,OK,53.267,-194.833,-1850.551,OK,95.747,-115.623,-1857.007,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801694896,1734095448.268607227,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801694899,1734095448.318607227,1,OK,0.6718858,-0.1969875,0.3140869,-0.6411824,-183.802,162.037,-1817.607,0.1890244,3,OK,-183.780,162.180,-1817.622,OK,-209.738,241.078,-1774.302,OK,-158.163,254.578,-1843.085,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801694899,1734095448.318607227,1,OK,0.9513598,-0.1800946,-0.0873166,0.2342144,151.718,-181.541,-1813.819,0.3593859,3,OK,152.089,-181.419,-1813.703,OK,53.247,-194.831,-1850.484,OK,95.731,-115.620,-1857.043,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801694899,1734095448.318607227,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801694902,1734095448.368607227,1,OK,0.6718103,-0.1970567,0.3144298,-0.6410722,-183.831,162.032,-1817.640,0.1759165,3,OK,-183.800,162.166,-1817.668,OK,-209.752,241.072,-1774.264,OK,-158.195,254.575,-1843.112,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801694902,1734095448.368607227,1,OK,0.9513440,-0.1798470,-0.0879109,0.2342464,151.684,-181.551,-1813.792,0.3802179,3,OK,152.080,-181.424,-1813.667,OK,53.229,-194.846,-1850.576,OK,95.718,-115.621,-1857.023,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801694902,1734095448.368607227,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801694905,1734095448.418607227,1,OK,0.6719478,-0.1971025,0.3138698,-0.6411883,-183.772,162.029,-1817.548,0.1946919,3,OK,-183.754,162.175,-1817.557,OK,-209.725,241.075,-1774.292,OK,-158.152,254.570,-1843.055,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801694905,1734095448.418607227,1,OK,0.9514289,-0.1798665,-0.0869247,0.2342545,151.758,-181.551,-1813.894,0.3465919,3,OK,152.113,-181.428,-1813.785,OK,53.261,-194.836,-1850.469,OK,95.745,-115.605,-1857.051,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801694905,1734095448.418607227,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801694908,1734095448.468607227,1,OK,0.6718124,-0.1972130,0.3141795,-0.6411446,-183.797,162.044,-1817.596,0.1666621,3,OK,-183.777,162.180,-1817.610,OK,-209.733,241.086,-1774.272,OK,-158.157,254.592,-1843.128,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801694908,1734095448.468607227,1,OK,0.9513886,-0.1798222,-0.0872756,0.2343215,151.734,-181.544,-1813.890,0.3601217,3,OK,152.100,-181.413,-1813.778,OK,53.252,-194.842,-1850.537,OK,95.730,-115.618,-1857.063,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801694908,1734095448.468607227,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1801694911,1734095448.518607227,1,OK,0.6719002,-0.1971150,0.3140109,-0.6411653,-183.805,162.018,-1817.578,0.1874447,3,OK,-183.785,162.155,-1817.591,OK,-209.748,241.064,-1774.295,OK,-158.181,254.562,-1843.081,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1801694911,1734095448.518607227,1,OK,0.9513205,-0.1799777,-0.0878961,0.2342471,151.706,-181.545,-1813.819,0.3835029,3,OK,152.106,-181.420,-1813.691,OK,53.252,-194.843,-1850.604,OK,95.737,-115.629,-1857.070,Port 0x03: BrainLAB Black Probe  s/n:38220401,1801694911,1734095448.518607227,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28
