Number of frames: 100
Frequency: 100
Units: mm

Frame,Isabelle Biomech 4 LED Stylus Calibrati q0,Isabelle Biomech 4 LED Stylus Calibrati qx,Isabelle Biomech 4 LED Stylus Calibrati qy,Isabelle Biomech 4 LED Stylus Calibrati qz,Isabelle Biomech 4 LED Stylus Calibrati x,Isabelle Biomech 4 LED Stylus Calibrati y,Isabelle Biomech 4 LED Stylus Calibrati z,Isabelle Biomech 4 LED Stylus Calibrati Error,Tibia q0,Tibia qx,Tibia qy,Tibia qz,Tibia x,Tibia y,Tibia z,Tibia Error,Patella q0,Patella qx,Patella qy,Patella qz,Patella x,Patella y,Patella z,Patella Error,Femur q0,Femur qx,Femur qy,Femur qz,Femur x,Femur y,Femur z,Femur Error
1,0.678596675,-0.126885697,-0.673448861,-0.264335334,-24.730133057,36.842117310,-2665.175292969,0.157901213,-0.179594100,-0.581960917,0.743332922,-0.276629090,59.475772858,-86.775520325,-2688.121337891,0.096439108,-0.190445289,0.061188765,0.970297575,-0.136048242,123.781951904,37.132160187,-2650.743164063,0.246471241,0.009174429,-0.675999641,0.728957415,-0.107523806,96.961364746,126.598739624,-2704.393554688,0.178590447,
2,0.678591728,-0.126788005,-0.673468292,-0.264345437,-24.734846115,36.845371246,-2665.177978516,0.152536243,-0.179418921,-0.581976652,0.743351400,-0.276660085,59.474323273,-86.775573730,-2688.116455078,0.097901791,-0.190465868,0.061183289,0.970303714,-0.135978073,123.782409668,37.131309509,-2650.742919922,0.247731030,0.009315016,-0.675973773,0.728965878,-0.107617289,96.960853577,126.598396301,-2704.393798828,0.177727357,
3,0.678558290,-0.126663476,-0.673492432,-0.264429539,-24.731697083,36.846866608,-2665.171630859,0.150677890,-0.179487303,-0.581927359,0.743272841,-0.276930183,59.477169037,-86.774757385,-2688.112304688,0.095384017,-0.190588012,0.061206430,0.970266342,-0.136063218,123.783638000,37.131477356,-2650.736328125,0.244805470,0.009217096,-0.676005125,0.728969157,-0.107405692,96.963821411,126.598243713,-2704.389648438,0.178772777,
4,0.678413808,-0.126317665,-0.673565865,-0.264778376,-24.737648010,36.846961975,-2665.169433594,0.155126214,-0.179514781,-0.581919611,0.743279397,-0.276911110,59.477268219,-86.774276733,-2688.107666016,0.095227674,-0.190623209,0.061189190,0.970276535,-0.135949135,123.784629822,37.133049011,-2650.734863281,0.244270161,0.008867512,-0.676006734,0.728963733,-0.107462294,96.965393066,126.599098206,-2704.387207031,0.178402528,
5,0.678311586,-0.126079097,-0.673608601,-0.265045077,-24.737545013,36.841426849,-2665.150878906,0.153180867,-0.179603741,-0.581904888,0.743346453,-0.276704252,59.478446960,-86.774047852,-2688.111572266,0.096117534,-0.190671653,0.061191879,0.970291317,-0.135774404,123.783103943,37.134014130,-2650.733154297,0.246187955,0.009032199,-0.675983369,0.728956699,-0.107643291,96.964790344,126.599571228,-2704.387451172,0.178623989,
6,0.678198338,-0.126016840,-0.673675299,-0.265194982,-24.742416382,36.842369080,-2665.168212891,0.151729673,-0.179403648,-0.581968725,0.743373871,-0.276626080,59.477336884,-86.773651123,-2688.114990234,0.098030016,-0.190550536,0.061214432,0.970249474,-0.136232525,123.779830933,37.133846283,-2650.731445313,0.244676441,0.009116420,-0.675999761,0.728937447,-0.107663013,96.963325500,126.600555420,-2704.390380859,0.178296164,
7,0.678149402,-0.125993967,-0.673690021,-0.265293509,-24.740402222,36.842910767,-2665.156738281,0.149631307,-0.179239169,-0.581977904,0.743351519,-0.276773542,59.475444794,-86.774406433,-2688.110351563,0.097175814,-0.190353349,0.061206181,0.970279217,-0.136299729,123.777755737,37.132839203,-2650.730468750,0.245145500,0.008887775,-0.675972760,0.728951037,-0.107759982,96.962501526,126.600532532,-2704.387939453,0.178434774,
8,0.678090155,-0.125969708,-0.673744559,-0.265317917,-24.745502472,36.840209961,-2665.170410156,0.155873060,-0.179596484,-0.581937075,0.743308246,-0.276743948,59.474205017,-86.775932312,-2688.113281250,0.096433319,-0.190377131,0.061188810,0.970311701,-0.136042982,123.778862000,37.130382538,-2650.734375000,0.246275991,0.008879296,-0.675977528,0.728956103,-0.107696779,96.962608337,126.598701477,-2704.389648438,0.178609729,
9,0.678083181,-0.125919104,-0.673751354,-0.265342593,-24.741292953,36.837776184,-2665.167724609,0.154367179,-0.179579869,-0.581978500,0.743312240,-0.276656836,59.479583740,-86.776496887,-2688.112304688,0.095972613,-0.190646589,0.061176237,0.970280528,-0.135893613,123.782493591,37.128715515,-2650.738281250,0.245212704,0.008969969,-0.676051319,0.728914738,-0.107505701,96.966934204,126.597625732,-2704.395019531,0.178756475,
10,0.678124964,-0.125956550,-0.673715949,-0.265307963,-24.744045258,36.840087891,-2665.173828125,0.156288639,-0.179550782,-0.581955314,0.743328273,-0.276681483,59.479389191,-86.776275635,-2688.114013672,0.096927792,-0.190547422,0.061174698,0.970299900,-0.135895148,123.784507751,37.128288269,-2650.737060547,0.244957134,0.009156346,-0.676043510,0.728909552,-0.107574202,96.967025757,126.598121643,-2704.391357422,0.179048613,
