Number of frames: 100
Frequency: 100
Units: mm

Frame,Isabelle Biomech 4 LED Stylus Calibrati q0,Isabelle Biomech 4 LED Stylus Calibrati qx,Isabelle Biomech 4 LED Stylus Calibrati qy,Isabelle Biomech 4 LED Stylus Calibrati qz,Isabelle Biomech 4 LED Stylus Calibrati x,Isabelle Biomech 4 LED Stylus Calibrati y,Isabelle Biomech 4 LED Stylus Calibrati z,Isabelle Biomech 4 LED Stylus Calibrati Error,Tibia q0,Tibia qx,Tibia qy,Tibia qz,Tibia x,Tibia y,Tibia z,Tibia Error,Patella q0,Patella qx,Patella qy,Patella qz,Patella x,Patella y,Patella z,Patella Error,Femur q0,Femur qx,Femur qy,Femur qz,Femur x,Femur y,Femur z,Femur Error
1,-0.502899408,0.168683365,0.799445331,0.282002091,35.555873871,32.972919464,-2682.514404297,0.178543895,-0.178337023,-0.580856442,0.744078279,-0.277757436,59.223594666,-86.907745361,-2688.031982422,0.093803003,-0.189678475,0.063319996,0.970284343,-0.136238456,123.644966125,36.828552246,-2650.669921875,0.243389994,0.009200871,-0.675919652,0.728987336,-0.107821397,96.955215454,126.604957581,-2704.455810547,0.176733926,
2,-0.503000617,0.168700382,0.799269378,0.282310158,35.555526733,32.965358734,-2682.484863281,0.174850076,-0.178432152,-0.580925167,0.744064867,-0.277588546,59.224754333,-86.906929016,-2688.033203125,0.093681104,-0.189742640,0.063305810,0.970320404,-0.135898620,123.646125793,36.828441620,-2650.670410156,0.245052025,0.008950310,-0.675953984,0.728951216,-0.107871257,96.953346252,126.605598450,-2704.450683594,0.176275402,
3,-0.503056645,0.168756440,0.799106479,0.282637924,35.563220978,32.969058990,-2682.463378906,0.181743488,-0.178350806,-0.580962539,0.744142950,-0.277353168,59.223636627,-86.905776978,-2688.037841797,0.093137033,-0.189762935,0.063363463,0.970282257,-0.136115760,123.648109436,36.827239990,-2650.675048828,0.243819058,0.008898159,-0.675948203,0.728971183,-0.107776709,96.951057434,126.608543396,-2704.450927734,0.177097052,
4,-0.503060400,0.168687731,0.798991084,0.282998085,35.570545197,32.966339111,-2682.445068359,0.180873081,-0.178394377,-0.580924988,0.744121790,-0.277460575,59.223205566,-86.904945374,-2688.039306641,0.093246073,-0.189857647,0.063362509,0.970242798,-0.136265188,123.650199890,36.826889038,-2650.677246094,0.242073745,0.009208884,-0.675901830,0.729014397,-0.107749522,96.949661255,126.609184265,-2704.454101563,0.176703393,
5,-0.503082335,0.168611035,0.798879206,0.283320457,35.578231812,32.953632355,-2682.428222656,0.178853095,-0.178280607,-0.580952764,0.744100094,-0.277533799,59.222057343,-86.905158997,-2688.037109375,0.093747728,-0.190121323,0.063302539,0.970188260,-0.136313885,123.649841309,36.829524994,-2650.677001953,0.240244150,0.009136565,-0.675919890,0.728999436,-0.107743502,96.952224731,126.608489990,-2704.454101563,0.177161992,
6,-0.503100812,0.168531120,0.798768044,0.283648342,35.602134705,32.940990448,-2682.411865234,0.175266951,-0.178374633,-0.580899835,0.744085968,-0.277621925,59.226001740,-86.905708313,-2688.038330078,0.092477895,-0.190069720,0.063283995,0.970200002,-0.136310607,123.648826599,36.833271027,-2650.675781250,0.240436926,0.009216596,-0.675883114,0.729013443,-0.107872277,96.953330994,126.609176636,-2704.456542969,0.175724417,
7,-0.503215432,0.168430954,0.798609853,0.283949912,35.612819672,32.925315857,-2682.384277344,0.169633418,-0.178546757,-0.580889046,0.744059086,-0.277605921,59.227149963,-86.904388428,-2688.038818359,0.092787735,-0.189805508,0.063312225,0.970284045,-0.136067480,123.648956299,36.836498260,-2650.677490234,0.243285343,0.008827254,-0.675883174,0.728998959,-0.108002543,96.954185486,126.609840393,-2704.457031250,0.176103413,
8,-0.503382444,0.168429419,0.798444092,0.284120917,35.627460480,32.900825500,-2682.365478516,0.170496464,-0.178591624,-0.580905974,0.744049668,-0.277566940,59.227954865,-86.903633118,-2688.038330078,0.093313769,-0.189725190,0.063303798,0.970277190,-0.136231959,123.647148132,36.838661194,-2650.676757813,0.244112372,0.008759844,-0.675899804,0.729000866,-0.107891113,96.953315735,126.609390259,-2704.458740234,0.175596476,
9,-0.503627658,0.168481544,0.798254073,0.284189254,35.644336700,32.870258331,-2682.338378906,0.167428881,-0.178531721,-0.580900013,0.744080365,-0.277535588,59.227367401,-86.905006409,-2688.037597656,0.092007786,-0.189642638,0.063334711,0.970310748,-0.136093616,123.644485474,36.839706421,-2650.674560547,0.245560005,0.008956765,-0.675896347,0.729019344,-0.107771508,96.955497742,126.609176636,-2704.456054688,0.177118123,
10,-0.503959358,0.168645039,0.798050404,0.284076363,35.656429291,32.824008942,-2682.320800781,0.166547552,-0.178555459,-0.580873609,0.744068027,-0.277608603,59.228420258,-86.906791687,-2688.043212891,0.091413975,-0.189788923,0.063350886,0.970280468,-0.136098057,123.637008667,36.845214844,-2650.665771484,0.244354010,0.009087650,-0.675891817,0.729031026,-0.107709818,96.951759338,126.607017517,-2704.458251953,0.177388579,
11,-0.504428923,0.168691874,0.797843099,0.283797264,35.653244019,32.727451324,-2682.275146484,0.170311764,-0.178546399,-0.580876052,0.744046867,-0.277666092,59.228134155,-86.907402039,-2688.043701172,0.092276372,-0.189488053,0.063429147,0.970290899,-0.136405870,123.621635437,36.856544495,-2650.639404297,0.244098768,0.009152935,-0.675918639,0.728953302,-0.108061582,96.953750610,126.606231689,-2704.459228516,0.176461205,
