Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,159069772,1738340762.868543042,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,159069772,1738340762.868543042,1,OK,0.8291248,0.0432908,0.0203010,-0.5570150,2.106,65.736,-1662.484,0.2266965,3,OK,1.892,65.599,-1662.500,OK,-93.872,63.591,-1664.091,OK,-31.879,148.641,-1655.118,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,159069772,1738340762.868543042,1,OK,0.7496816,-0.1312931,-0.0754893,0.6442367,-167.176,-95.140,-1599.843,0.4815135,3,OK,-167.141,-94.711,-1599.878,OK,-252.101,-142.001,-1620.084,OK,-182.403,-187.206,-1594.740
3,Port 0x01: JJH Probe  s/n:3E4C880C,159069775,1738340762.918543042,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,159069775,1738340762.918543042,1,OK,0.8291198,0.0435544,0.0201668,-0.5570069,2.118,65.729,-1662.451,0.2359166,3,OK,1.898,65.584,-1662.468,OK,-93.851,63.585,-1664.109,OK,-31.871,148.643,-1655.079,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,159069775,1738340762.918543042,1,OK,0.7496349,-0.1314867,-0.0755513,0.6442443,-167.163,-95.138,-1599.836,0.4732071,3,OK,-167.121,-94.713,-1599.868,OK,-252.093,-142.009,-1620.100,OK,-182.379,-187.199,-1594.715
3,Port 0x01: JJH Probe  s/n:3E4C880C,159069778,1738340762.968543042,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,159069778,1738340762.968543042,1,OK,0.8291371,0.0431749,0.0207054,-0.5569909,2.112,65.736,-1662.515,0.2329202,3,OK,1.890,65.598,-1662.531,OK,-93.851,63.591,-1664.046,OK,-31.880,148.630,-1655.102,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,159069778,1738340762.968543042,1,OK,0.7496311,-0.1315182,-0.0754597,0.6442531,-167.172,-95.135,-1599.860,0.4740648,3,OK,-167.134,-94.710,-1599.894,OK,-252.100,-142.005,-1620.107,OK,-182.388,-187.197,-1594.723
3,Port 0x01: JJH Probe  s/n:3E4C880C,159069781,1738340763.018543042,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,159069781,1738340763.018543042,1,OK,0.8291176,0.0434572,0.0203691,-0.5570104,2.110,65.736,-1662.429,0.2359767,3,OK,1.879,65.602,-1662.445,OK,-93.851,63.593,-1664.044,OK,-31.874,148.635,-1655.037,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,159069781,1738340763.018543042,1,OK,0.7496835,-0.1312121,-0.0755516,0.6442437,-167.167,-95.142,-1599.842,0.4779048,3,OK,-167.130,-94.714,-1599.875,OK,-252.097,-142.001,-1620.093,OK,-182.386,-187.210,-1594.755
3,Port 0x01: JJH Probe  s/n:3E4C880C,159069784,1738340763.068543042,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,159069784,1738340763.068543042,1,OK,0.8291393,0.0435863,0.0202160,-0.5569735,2.113,65.734,-1662.451,0.2275253,3,OK,1.900,65.596,-1662.467,OK,-93.860,63.588,-1664.104,OK,-31.883,148.633,-1655.069,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,159069784,1738340763.068543042,1,OK,0.7496271,-0.1315880,-0.0756299,0.6442235,-167.171,-95.139,-1599.839,0.4715179,3,OK,-167.131,-94.713,-1599.872,OK,-252.098,-142.005,-1620.123,OK,-182.386,-187.204,-1594.716
3,Port 0x01: JJH Probe  s/n:3E4C880C,159069787,1738340763.118543042,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,159069787,1738340763.118543042,1,OK,0.8290835,0.0436446,0.0207994,-0.5570306,2.106,65.738,-1662.515,0.2332801,3,OK,1.879,65.604,-1662.531,OK,-93.862,63.597,-1664.084,OK,-31.868,148.635,-1655.040,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,159069787,1738340763.118543042,1,OK,0.7496420,-0.1314758,-0.0755620,0.6442371,-167.169,-95.138,-1599.847,0.4769987,3,OK,-167.132,-94.711,-1599.881,OK,-252.091,-142.005,-1620.110,OK,-182.390,-187.202,-1594.730
3,Port 0x01: JJH Probe  s/n:3E4C880C,159069790,1738340763.168543042,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,159069790,1738340763.168543042,1,OK,0.8291233,0.0433220,0.0204964,-0.5570077,2.109,65.733,-1662.459,0.2353521,3,OK,1.882,65.596,-1662.475,OK,-93.853,63.588,-1664.039,OK,-31.876,148.633,-1655.062,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,159069790,1738340763.168543042,1,OK,0.7497021,-0.1310779,-0.0756307,0.6442401,-167.167,-95.141,-1599.829,0.4837878,3,OK,-167.128,-94.710,-1599.862,OK,-252.091,-142.000,-1620.087,OK,-182.393,-187.207,-1594.773
3,Port 0x01: JJH Probe  s/n:3E4C880C,159069793,1738340763.218543042,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,159069793,1738340763.218543042,1,OK,0.8291379,0.0433279,0.0203720,-0.5569902,2.109,65.736,-1662.436,0.2331454,3,OK,1.886,65.597,-1662.453,OK,-93.856,63.589,-1664.036,OK,-31.883,148.635,-1655.057,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,159069793,1738340763.218543042,1,OK,0.7496771,-0.1313527,-0.0754724,0.6442318,-167.174,-95.139,-1599.866,0.4766573,3,OK,-167.139,-94.713,-1599.900,OK,-252.104,-141.998,-1620.107,OK,-182.398,-187.202,-1594.751
3,Port 0x01: JJH Probe  s/n:3E4C880C,159069796,1738340763.268543042,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,159069796,1738340763.268543042,1,OK,0.8290849,0.0435961,0.0201521,-0.5570561,2.110,65.727,-1662.410,0.2323960,3,OK,1.882,65.596,-1662.426,OK,-93.854,63.598,-1664.073,OK,-31.866,148.628,-1655.036,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,159069796,1738340763.268543042,1,OK,0.7496627,-0.1313423,-0.0755307,0.6442439,-167.175,-95.139,-1599.883,0.4745409,3,OK,-167.135,-94.712,-1599.916,OK,-252.107,-142.002,-1620.137,OK,-182.391,-187.204,-1594.777
3,Port 0x01: JJH Probe  s/n:3E4C880C,159069799,1738340763.318543042,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,159069799,1738340763.318543042,1,OK,0.8291536,0.0433136,0.0202190,-0.5569735,2.119,65.735,-1662.471,0.2331634,3,OK,1.899,65.594,-1662.488,OK,-93.848,63.584,-1664.094,OK,-31.878,148.639,-1655.116,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,159069799,1738340763.318543042,1,OK,0.7496321,-0.1316454,-0.0755873,0.6442110,-167.171,-95.134,-1599.863,0.4680091,3,OK,-167.132,-94.712,-1599.896,OK,-252.101,-141.998,-1620.143,OK,-182.387,-187.196,-1594.727
