Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 0x01: JJH Probe  s/n:3E4C880C,96728098,1737301734.968409089,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,96728098,1737301734.968409089,1,OK,0.7373820,-0.1526704,-0.0929205,0.6514026,-10.346,12.453,-1831.311,0.3467632,3,OK,-10.191,12.847,-1831.300,OK,-93.029,-37.051,-1855.478,OK,-23.118,-79.901,-1825.625,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,96728098,1737301734.968409089,1,OK,0.8770160,0.0498137,-0.0704869,-0.4726449,140.147,162.462,-1913.376,0.2225250,3,OK,139.974,162.295,-1913.409,OK,47.782,141.861,-1929.817,OK,91.377,237.690,-1920.244,Passive Strays,96728098,1737301734.968,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,96728101,1737301735.018409089,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,96728101,1737301735.018409089,1,OK,0.7373690,-0.1526142,-0.0934436,0.6513557,-10.362,12.459,-1831.254,0.3576039,3,OK,-10.184,12.870,-1831.236,OK,-93.042,-37.050,-1855.524,OK,-23.129,-79.901,-1825.649,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,96728101,1737301735.018409089,1,OK,0.8770069,0.0497858,-0.0704399,-0.4726717,140.140,162.455,-1913.361,0.2193408,3,OK,139.972,162.290,-1913.394,OK,47.769,141.860,-1929.793,OK,91.373,237.684,-1920.224,Passive Strays,96728101,1737301735.018,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,96728104,1737301735.068409089,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,96728104,1737301735.068409089,1,OK,0.7373052,-0.1527593,-0.0936308,0.6513670,-10.360,12.456,-1831.247,0.3453972,3,OK,-10.186,12.856,-1831.228,OK,-93.034,-37.055,-1855.562,OK,-23.103,-79.905,-1825.643,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,96728104,1737301735.068409089,1,OK,0.8769399,0.0500823,-0.0710394,-0.4726748,140.141,162.449,-1913.373,0.2143975,3,OK,139.982,162.284,-1913.404,OK,47.781,141.862,-1929.929,OK,91.387,237.682,-1920.305,Passive Strays,96728104,1737301735.068,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,96728107,1737301735.118409089,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,96728107,1737301735.118409089,1,OK,0.7374014,-0.1527614,-0.0930104,0.6513464,-10.342,12.459,-1831.321,0.3436986,3,OK,-10.185,12.852,-1831.308,OK,-93.030,-37.036,-1855.512,OK,-23.121,-79.891,-1825.637,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,96728107,1737301735.118409089,1,OK,0.8769404,0.0499922,-0.0711716,-0.4726637,140.134,162.454,-1913.305,0.2165170,3,OK,139.980,162.283,-1913.336,OK,47.778,141.863,-1929.869,OK,91.378,237.689,-1920.266,Passive Strays,96728107,1737301735.118,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,96728110,1737301735.168409089,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,96728110,1737301735.168409089,1,OK,0.7373597,-0.1530014,-0.0934707,0.6512714,-10.358,12.450,-1831.257,0.3402110,3,OK,-10.193,12.842,-1831.241,OK,-93.035,-37.043,-1855.551,OK,-23.130,-79.901,-1825.606,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,96728110,1737301735.168409089,1,OK,0.8769379,0.0502461,-0.0707894,-0.4726987,140.140,162.453,-1913.386,0.2159119,3,OK,139.976,162.290,-1913.418,OK,47.777,141.869,-1929.927,OK,91.389,237.690,-1920.263,Passive Strays,96728110,1737301735.168,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,96728113,1737301735.218409089,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,96728113,1737301735.218409089,1,OK,0.7373996,-0.1527854,-0.0927072,0.6513861,-10.343,12.461,-1831.323,0.3457325,3,OK,-10.195,12.854,-1831.314,OK,-93.029,-37.037,-1855.452,OK,-23.125,-79.893,-1825.593,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,96728113,1737301735.218409089,1,OK,0.8769209,0.0500604,-0.0707637,-0.4727538,140.141,162.445,-1913.338,0.2167950,3,OK,139.979,162.280,-1913.370,OK,47.773,141.870,-1929.852,OK,91.397,237.688,-1920.226,Passive Strays,96728113,1737301735.218,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,96728116,1737301735.268409089,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,96728116,1737301735.268409089,1,OK,0.7374170,-0.1525569,-0.0930625,0.6513692,-10.340,12.453,-1831.291,0.3500510,3,OK,-10.177,12.850,-1831.277,OK,-93.027,-37.046,-1855.483,OK,-23.118,-79.897,-1825.642,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,96728116,1737301735.268409089,1,OK,0.8769574,0.0500266,-0.0707813,-0.4726870,140.150,162.452,-1913.373,0.2125886,3,OK,139.989,162.291,-1913.404,OK,47.781,141.864,-1929.885,OK,91.396,237.682,-1920.268,Passive Strays,96728116,1737301735.268,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,96728119,1737301735.318409089,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,96728119,1737301735.318409089,1,OK,0.7373393,-0.1529273,-0.0933167,0.6513341,-10.360,12.457,-1831.292,0.3449837,3,OK,-10.195,12.854,-1831.277,OK,-93.037,-37.048,-1855.551,OK,-23.127,-79.898,-1825.628,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,96728119,1737301735.318409089,1,OK,0.8769433,0.0499033,-0.0711094,-0.4726770,140.143,162.452,-1913.348,0.2233538,3,OK,139.975,162.282,-1913.380,OK,47.790,141.857,-1929.890,OK,91.393,237.692,-1920.305,Passive Strays,96728119,1737301735.318,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,96728122,1737301735.368409089,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,96728122,1737301735.368409089,1,OK,0.7374008,-0.1530797,-0.0928660,0.6512930,-10.346,12.445,-1831.363,0.3451465,3,OK,-10.189,12.842,-1831.351,OK,-93.040,-37.049,-1855.542,OK,-23.139,-79.907,-1825.620,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,96728122,1737301735.368409089,1,OK,0.8769535,0.0496591,-0.0707368,-0.4727396,140.146,162.452,-1913.342,0.2217917,3,OK,139.978,162.285,-1913.374,OK,47.772,141.860,-1929.802,OK,91.401,237.698,-1920.260,Passive Strays,96728122,1737301735.368,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,96728125,1737301735.418409090,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,96728125,1737301735.418409090,1,OK,0.7374035,-0.1522580,-0.0933669,0.6514110,-10.359,12.451,-1831.218,0.3539509,3,OK,-10.192,12.852,-1831.202,OK,-93.036,-37.052,-1855.454,OK,-23.121,-79.905,-1825.647,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,96728125,1737301735.418409090,1,OK,0.8769036,0.0498998,-0.0711914,-0.4727387,140.142,162.449,-1913.346,0.2142245,3,OK,139.987,162.282,-1913.376,OK,47.778,141.869,-1929.902,OK,91.403,237.691,-1920.316,Passive Strays,96728125,1737301735.418,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
