Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,143730682,1738085111.368846239,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,143730682,1738085111.368846239,1,OK,0.8583338,-0.0422974,0.0972155,-0.5020190,93.906,126.988,-1685.087,0.1533727,3,OK,93.761,126.904,-1685.058,OK,0.911,112.568,-1665.539,OK,51.119,205.191,-1673.923,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,143730682,1738085111.368846239,1,OK,0.7173064,-0.0015527,0.0353085,0.6958610,-18.171,-42.999,-1604.838,0.4300101,3,OK,-17.966,-42.588,-1604.869,OK,-99.946,-99.044,-1597.976,OK,-21.302,-136.100,-1599.891
3,Port 0x01: JJH Probe  s/n:3E4C880C,143730685,1738085111.418846239,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,143730685,1738085111.418846239,1,OK,0.8583142,-0.0419759,0.0976573,-0.5019938,93.899,126.987,-1685.113,0.1471782,3,OK,93.767,126.899,-1685.087,OK,0.904,112.559,-1665.537,OK,51.116,205.182,-1673.851,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,143730685,1738085111.418846239,1,OK,0.7172632,-0.0024697,0.0356978,0.6958830,-18.177,-43.005,-1604.856,0.4313667,3,OK,-17.977,-42.589,-1604.887,OK,-99.943,-99.046,-1597.949,OK,-21.298,-136.105,-1599.738
3,Port 0x01: JJH Probe  s/n:3E4C880C,143730688,1738085111.468846239,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,143730688,1738085111.468846239,1,OK,0.8582444,-0.0418392,0.0979864,-0.5020604,93.896,127.002,-1685.136,0.1513694,3,OK,93.767,126.904,-1685.111,OK,0.910,112.587,-1665.528,OK,51.131,205.209,-1673.811,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,143730688,1738085111.468846239,1,OK,0.7172753,-0.0019416,0.0355517,0.6958796,-18.182,-43.001,-1604.871,0.4302123,3,OK,-17.978,-42.585,-1604.903,OK,-99.954,-99.045,-1597.975,OK,-21.303,-136.104,-1599.842
3,Port 0x01: JJH Probe  s/n:3E4C880C,143730691,1738085111.518846239,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,143730691,1738085111.518846239,1,OK,0.8583136,-0.0420693,0.0975671,-0.5020046,93.899,126.985,-1685.144,0.1448243,3,OK,93.769,126.895,-1685.118,OK,0.907,112.568,-1665.570,OK,51.111,205.176,-1673.903,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,143730691,1738085111.518846239,1,OK,0.7173032,-0.0017123,0.0357011,0.6958438,-18.178,-43.007,-1604.845,0.4332599,3,OK,-17.981,-42.591,-1604.876,OK,-99.940,-99.042,-1597.913,OK,-21.313,-136.111,-1599.824
3,Port 0x01: JJH Probe  s/n:3E4C880C,143730694,1738085111.568846239,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,143730694,1738085111.568846239,1,OK,0.8582783,-0.0421174,0.0977638,-0.5020226,93.900,126.987,-1685.142,0.1526641,3,OK,93.770,126.892,-1685.116,OK,0.908,112.561,-1665.532,OK,51.126,205.201,-1673.877,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,143730694,1738085111.568846239,1,OK,0.7173295,-0.0017455,0.0357500,0.6958142,-18.166,-43.011,-1604.872,0.4315971,3,OK,-17.971,-42.590,-1604.904,OK,-99.936,-99.035,-1597.932,OK,-21.302,-136.124,-1599.841
3,Port 0x01: JJH Probe  s/n:3E4C880C,143730697,1738085111.618846239,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,143730697,1738085111.618846239,1,OK,0.8582938,-0.0419073,0.0976997,-0.5020263,93.897,127.000,-1685.185,0.1494669,3,OK,93.750,126.923,-1685.155,OK,0.909,112.577,-1665.612,OK,51.130,205.186,-1673.913,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,143730697,1738085111.618846239,1,OK,0.7173252,-0.0013843,0.0359561,0.6958087,-18.177,-43.006,-1604.859,0.4275634,3,OK,-17.981,-42.595,-1604.890,OK,-99.945,-99.030,-1597.866,OK,-21.310,-136.111,-1599.847
3,Port 0x01: JJH Probe  s/n:3E4C880C,143730700,1738085111.668846239,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,143730700,1738085111.668846239,1,OK,0.8583110,-0.0423312,0.0977406,-0.5019532,93.889,126.991,-1685.166,0.1556510,3,OK,93.756,126.903,-1685.140,OK,0.894,112.537,-1665.533,OK,51.115,205.209,-1673.925,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,143730700,1738085111.668846239,1,OK,0.7172839,-0.0018947,0.0354074,0.6958782,-18.193,-43.002,-1604.831,0.4290275,3,OK,-17.994,-42.591,-1604.862,OK,-99.962,-99.045,-1597.962,OK,-21.318,-136.105,-1599.827
3,Port 0x01: JJH Probe  s/n:3E4C880C,143730703,1738085111.718846237,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,143730703,1738085111.718846237,1,OK,0.8583546,-0.0416072,0.0977118,-0.5019448,93.910,127.000,-1685.153,0.1562110,3,OK,93.778,126.898,-1685.127,OK,0.920,112.556,-1665.615,OK,51.114,205.197,-1673.846,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,143730703,1738085111.718846237,1,OK,0.7172869,-0.0023117,0.0357151,0.6958581,-18.178,-42.996,-1604.839,0.4289923,3,OK,-17.977,-42.589,-1604.870,OK,-99.946,-99.034,-1597.924,OK,-21.307,-136.086,-1599.740
3,Port 0x01: JJH Probe  s/n:3E4C880C,143730706,1738085111.768846238,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,143730706,1738085111.768846238,1,OK,0.8582835,-0.0423763,0.0978339,-0.5019783,93.899,126.992,-1685.151,0.1439383,3,OK,93.773,126.913,-1685.126,OK,0.901,112.551,-1665.498,OK,51.132,205.198,-1673.901,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,143730706,1738085111.768846238,1,OK,0.7172390,-0.0018996,0.0357149,0.6959088,-18.185,-42.995,-1604.865,0.4263068,3,OK,-17.980,-42.586,-1604.896,OK,-99.953,-99.045,-1597.935,OK,-21.294,-136.091,-1599.820
3,Port 0x01: JJH Probe  s/n:3E4C880C,143730709,1738085111.818846238,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,143730709,1738085111.818846238,1,OK,0.8582616,-0.0419688,0.0982205,-0.5019745,93.886,126.995,-1685.219,0.1431593,3,OK,93.775,126.895,-1685.198,OK,0.898,112.564,-1665.558,OK,51.110,205.196,-1673.868,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,143730709,1738085111.818846238,1,OK,0.7173516,-0.0016250,0.0356022,0.6957991,-18.175,-43.005,-1604.841,0.4310457,3,OK,-17.978,-42.589,-1604.872,OK,-99.948,-99.028,-1597.925,OK,-21.318,-136.113,-1599.844
