Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 0x01: JJH Probe  s/n:3E4C880C,75772180,1736952469.668285670,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,75772180,1736952469.668285670,1,OK,0.9173493,-0.0104547,-0.1048879,-0.3838744,70.935,-66.746,-2005.905,0.2925414,3,OK,71.016,-67.134,-2005.850,OK,87.750,31.122,-2012.713,OK,7.309,-1.119,-2024.597,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,75772180,1736952469.668285670,1,OK,0.9988320,-0.0285328,0.0213332,0.0326418,176.208,-256.867,-2066.933,0.2683288,3,OK,176.335,-257.128,-2066.923,OK,148.054,-348.420,-2060.423,OK,86.496,-262.550,-2062.935,Passive Strays,75772180,1736952469.668,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,75772183,1736952469.718285670,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,75772183,1736952469.718285670,1,OK,0.9172972,-0.0100021,-0.1051870,-0.3839289,70.943,-66.740,-2005.916,0.2899915,3,OK,71.030,-67.127,-2005.860,OK,87.777,31.129,-2012.647,OK,7.324,-1.099,-2024.628,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,75772183,1736952469.718285670,1,OK,0.9988267,-0.0284999,0.0217199,0.0325762,176.224,-256.870,-2066.980,0.2673257,3,OK,176.356,-257.126,-2066.970,OK,148.058,-348.423,-2060.451,OK,86.510,-262.540,-2062.912,Passive Strays,75772183,1736952469.718,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,75772186,1736952469.768285669,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,75772186,1736952469.768285669,1,OK,0.9173123,-0.0099036,-0.1053069,-0.3838627,70.959,-66.752,-2005.932,0.2944507,3,OK,71.052,-67.143,-2005.874,OK,87.775,31.118,-2012.651,OK,7.332,-1.112,-2024.659,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,75772186,1736952469.768285669,1,OK,0.9988329,-0.0285909,0.0213502,0.0325506,176.240,-256.872,-2066.950,0.2702532,3,OK,176.372,-257.132,-2066.940,OK,148.068,-348.417,-2060.428,OK,86.523,-262.540,-2062.948,Passive Strays,75772186,1736952469.768,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,75772189,1736952469.818285669,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,75772189,1736952469.818285669,1,OK,0.9173049,-0.0100026,-0.1052162,-0.3839025,70.947,-66.742,-2005.956,0.2913199,3,OK,71.031,-67.130,-2005.901,OK,87.773,31.130,-2012.691,OK,7.331,-1.106,-2024.672,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,75772189,1736952469.818285669,1,OK,0.9988205,-0.0285645,0.0219272,0.0325708,176.224,-256.869,-2066.988,0.2711508,3,OK,176.358,-257.128,-2066.979,OK,148.065,-348.422,-2060.435,OK,86.507,-262.531,-2062.883,Passive Strays,75772189,1736952469.818,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,75772192,1736952469.868285669,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,75772192,1736952469.868285669,1,OK,0.9173256,-0.0104941,-0.1050999,-0.3838720,70.949,-66.745,-2005.922,0.2958061,3,OK,71.029,-67.139,-2005.867,OK,87.771,31.128,-2012.748,OK,7.330,-1.122,-2024.653,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,75772192,1736952469.868285669,1,OK,0.9988319,-0.0285960,0.0213216,0.0325948,176.219,-256.875,-2066.983,0.2656198,3,OK,176.349,-257.130,-2066.973,OK,148.053,-348.426,-2060.462,OK,86.507,-262.552,-2062.987,Passive Strays,75772192,1736952469.868,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,75772195,1736952469.918285670,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,75772195,1736952469.918285670,1,OK,0.9172676,-0.0098820,-0.1057236,-0.3838554,70.924,-66.744,-2005.906,0.2953276,3,OK,71.019,-67.138,-2005.848,OK,87.754,31.127,-2012.640,OK,7.303,-1.109,-2024.704,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,75772195,1736952469.918285670,1,OK,0.9988374,-0.0281671,0.0216009,0.0326168,176.202,-256.872,-2066.944,0.2657596,3,OK,176.331,-257.127,-2066.935,OK,148.043,-348.435,-2060.483,OK,86.489,-262.549,-2062.900,Passive Strays,75772195,1736952469.918,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,75772198,1736952469.968285670,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,75772198,1736952469.968285670,1,OK,0.9172838,-0.0101204,-0.1054462,-0.3838867,70.940,-66.737,-2005.901,0.2933043,3,OK,71.031,-67.128,-2005.844,OK,87.770,31.129,-2012.668,OK,7.322,-1.103,-2024.667,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,75772198,1736952469.968285670,1,OK,0.9988295,-0.0287100,0.0212039,0.0326475,176.213,-256.850,-2066.902,0.2672705,3,OK,176.338,-257.110,-2066.892,OK,148.059,-348.402,-2060.369,OK,86.501,-262.534,-2062.927,Passive Strays,75772198,1736952469.968,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,75772201,1736952470.018285669,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,75772201,1736952470.018285669,1,OK,0.9172693,-0.0101216,-0.1054692,-0.3839151,70.948,-66.749,-2005.932,0.2962257,3,OK,71.038,-67.144,-2005.875,OK,87.784,31.120,-2012.701,OK,7.337,-1.111,-2024.702,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,75772201,1736952470.018285669,1,OK,0.9988173,-0.0287775,0.0217501,0.0326012,176.227,-256.866,-2066.940,0.2704831,3,OK,176.358,-257.127,-2066.930,OK,148.069,-348.412,-2060.360,OK,86.513,-262.539,-2062.866,Passive Strays,75772201,1736952470.018,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,75772204,1736952470.068285670,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,75772204,1736952470.068285670,1,OK,0.9173465,-0.0097425,-0.1049727,-0.3838765,70.948,-66.755,-2006.012,0.2889022,3,OK,71.035,-67.139,-2005.957,OK,87.759,31.118,-2012.685,OK,7.315,-1.113,-2024.669,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,75772204,1736952470.068285670,1,OK,0.9988146,-0.0289695,0.0216974,0.0325495,176.204,-256.874,-2066.991,0.2699686,3,OK,176.332,-257.137,-2066.981,OK,148.035,-348.410,-2060.379,OK,86.494,-262.541,-2062.925,Passive Strays,75772204,1736952470.068,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,75772207,1736952470.118285670,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,75772207,1736952470.118285670,1,OK,0.9173202,-0.0100477,-0.1052491,-0.3838558,70.944,-66.739,-2005.904,0.2904598,3,OK,71.034,-67.125,-2005.848,OK,87.760,31.127,-2012.649,OK,7.319,-1.107,-2024.630,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,75772207,1736952470.118285670,1,OK,0.9988259,-0.0286010,0.0215727,0.0326111,176.210,-256.868,-2066.952,0.2680157,3,OK,176.341,-257.126,-2066.942,OK,148.048,-348.416,-2060.415,OK,86.498,-262.548,-2062.910,Passive Strays,75772207,1736952470.118,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
