Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447660,1736963727.668375910,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447660,1736963727.668375910,1,OK,0.9181392,0.0553842,-0.0781729,-0.3845022,69.215,-36.847,-1997.698,0.3615826,3,OK,69.365,-37.328,-1997.690,OK,84.770,61.221,-1990.594,OK,4.713,30.030,-2007.096,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447660,1736963727.668375910,1,OK,0.9988664,-0.0243345,0.0202958,0.0355209,176.465,-209.157,-2071.791,0.2812128,3,OK,176.607,-209.429,-2071.783,OK,148.805,-300.884,-2066.114,OK,86.778,-215.401,-2067.989,Passive Strays,76447660,1736963727.668,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447663,1736963727.718375910,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447663,1736963727.718375910,1,OK,0.9181759,0.0558513,-0.0773460,-0.3845144,69.220,-36.846,-1997.815,0.3603847,3,OK,69.360,-37.328,-1997.810,OK,84.767,61.223,-1990.582,OK,4.705,30.025,-2007.036,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447663,1736963727.718375910,1,OK,0.9988794,-0.0241769,0.0199288,0.0354730,176.458,-209.146,-2071.723,0.2745124,3,OK,176.603,-209.407,-2071.715,OK,148.779,-300.879,-2066.097,OK,86.771,-215.388,-2067.988,Passive Strays,76447663,1736963727.718,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447666,1736963727.768375910,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447666,1736963727.768375910,1,OK,0.9181662,0.0558668,-0.0778606,-0.3844313,69.232,-36.846,-1997.762,0.3552488,3,OK,69.374,-37.318,-1997.756,OK,84.762,61.218,-1990.552,OK,4.722,30.017,-2007.071,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447666,1736963727.768375910,1,OK,0.9988693,-0.0246003,0.0198637,0.0355029,176.465,-209.157,-2071.752,0.2800514,3,OK,176.609,-209.426,-2071.744,OK,148.794,-300.878,-2066.054,OK,86.777,-215.405,-2068.027,Passive Strays,76447666,1736963727.768,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447669,1736963727.818375910,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447669,1736963727.818375910,1,OK,0.9181350,0.0559273,-0.0780712,-0.3844544,69.230,-36.847,-1997.706,0.3529901,3,OK,69.373,-37.318,-1997.699,OK,84.773,61.217,-1990.491,OK,4.718,30.018,-2007.047,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447669,1736963727.818375910,1,OK,0.9988729,-0.0243410,0.0199220,0.0355478,176.469,-209.157,-2071.742,0.2786726,3,OK,176.613,-209.424,-2071.734,OK,148.806,-300.884,-2066.087,OK,86.784,-215.414,-2068.007,Passive Strays,76447669,1736963727.818,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447672,1736963727.868375913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447672,1736963727.868375913,1,OK,0.9182071,0.0554545,-0.0772247,-0.3845216,69.206,-36.829,-1997.806,0.3620985,3,OK,69.348,-37.308,-1997.801,OK,84.744,61.235,-1990.648,OK,4.703,30.047,-2007.033,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447672,1736963727.868375913,1,OK,0.9988722,-0.0243807,0.0200206,0.0354828,176.438,-209.138,-2071.717,0.2833014,3,OK,176.580,-209.413,-2071.709,OK,148.770,-300.860,-2066.050,OK,86.748,-215.377,-2067.965,Passive Strays,76447672,1736963727.868,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447675,1736963727.918375913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447675,1736963727.918375913,1,OK,0.9181110,0.0567075,-0.0779798,-0.3844159,69.231,-36.840,-1997.889,0.3563528,3,OK,69.370,-37.318,-1997.884,OK,84.756,61.226,-1990.520,OK,4.712,30.023,-2007.159,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447675,1736963727.918375913,1,OK,0.9988682,-0.0245365,0.0199768,0.0355135,176.461,-209.155,-2071.751,0.2801899,3,OK,176.606,-209.424,-2071.743,OK,148.796,-300.881,-2066.058,OK,86.772,-215.401,-2068.006,Passive Strays,76447675,1736963727.918,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447678,1736963727.968375913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447678,1736963727.968375913,1,OK,0.9181626,0.0559490,-0.0776194,-0.3844767,69.252,-36.842,-1997.785,0.3620746,3,OK,69.396,-37.323,-1997.779,OK,84.784,61.222,-1990.549,OK,4.745,30.033,-2007.045,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447678,1736963727.968375913,1,OK,0.9988628,-0.0243961,0.0203951,0.0355231,176.490,-209.152,-2071.798,0.2849460,3,OK,176.641,-209.423,-2071.790,OK,148.829,-300.875,-2066.104,OK,86.798,-215.399,-2067.978,Passive Strays,76447678,1736963727.968,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447681,1736963728.018375913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447681,1736963728.018375913,1,OK,0.9181084,0.0564133,-0.0779650,-0.3844685,69.220,-36.833,-1997.790,0.3590411,3,OK,69.353,-37.315,-1997.786,OK,84.756,61.242,-1990.477,OK,4.720,30.033,-2007.076,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447681,1736963728.018375913,1,OK,0.9988770,-0.0243733,0.0197876,0.0354855,176.457,-209.150,-2071.765,0.2800801,3,OK,176.595,-209.423,-2071.757,OK,148.789,-300.879,-2066.113,OK,86.767,-215.387,-2068.055,Passive Strays,76447681,1736963728.018,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447684,1736963728.068375913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447684,1736963728.068375913,1,OK,0.9180867,0.0561854,-0.0783904,-0.3844671,69.203,-36.844,-1997.732,0.3584968,3,OK,69.346,-37.324,-1997.726,OK,84.749,61.226,-1990.482,OK,4.700,30.026,-2007.110,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447684,1736963728.068375913,1,OK,0.9988747,-0.0243607,0.0200175,0.0354299,176.450,-209.160,-2071.728,0.2778230,3,OK,176.590,-209.429,-2071.720,OK,148.768,-300.882,-2066.063,OK,86.765,-215.393,-2067.977,Passive Strays,76447684,1736963728.068,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447687,1736963728.118375913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447687,1736963728.118375913,1,OK,0.9181935,0.0557850,-0.0774983,-0.3844513,69.251,-36.838,-1997.785,0.3560581,3,OK,69.391,-37.310,-1997.779,OK,84.778,61.225,-1990.576,OK,4.740,30.027,-2007.036,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447687,1736963728.118375913,1,OK,0.9988839,-0.0241427,0.0196508,0.0355223,176.482,-209.151,-2071.727,0.2795475,3,OK,176.618,-209.425,-2071.719,OK,148.817,-300.880,-2066.125,OK,86.796,-215.399,-2068.043,Passive Strays,76447687,1736963728.118,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447690,1736963728.168375913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447690,1736963728.168375913,1,OK,0.9181872,0.0555695,-0.0774594,-0.3845052,69.234,-36.841,-1997.790,0.3644681,3,OK,69.376,-37.326,-1997.784,OK,84.776,61.231,-1990.619,OK,4.730,30.032,-2007.049,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447690,1736963728.168375913,1,OK,0.9988771,-0.0245367,0.0194642,0.0355466,176.466,-209.148,-2071.705,0.2731186,3,OK,176.603,-209.413,-2071.696,OK,148.800,-300.880,-2066.042,OK,86.783,-215.403,-2068.051,Passive Strays,76447690,1736963728.168,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447693,1736963728.218375913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447693,1736963728.218375913,1,OK,0.9180838,0.0560482,-0.0787271,-0.3844253,69.222,-36.844,-1997.729,0.3575182,3,OK,69.370,-37.321,-1997.721,OK,84.762,61.223,-1990.522,OK,4.718,30.025,-2007.175,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447693,1736963728.218375913,1,OK,0.9988676,-0.0240033,0.0207938,0.0354258,176.476,-209.168,-2071.802,0.2792325,3,OK,176.620,-209.436,-2071.795,OK,148.799,-300.894,-2066.155,OK,86.792,-215.395,-2067.914,Passive Strays,76447693,1736963728.218,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447696,1736963728.268375913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447696,1736963728.268375913,1,OK,0.9181275,0.0559861,-0.0780374,-0.3844705,69.207,-36.841,-1997.753,0.3599003,3,OK,69.351,-37.322,-1997.747,OK,84.750,61.229,-1990.526,OK,4.700,30.030,-2007.084,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447696,1736963728.268375913,1,OK,0.9988828,-0.0239722,0.0198527,0.0355583,176.441,-209.135,-2071.692,0.2742689,3,OK,176.583,-209.398,-2071.685,OK,148.779,-300.874,-2066.109,OK,86.756,-215.391,-2067.973,Passive Strays,76447696,1736963728.268,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,76447699,1736963728.318375913,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,76447699,1736963728.318375913,1,OK,0.9180995,0.0565211,-0.0781084,-0.3844448,69.219,-36.835,-1997.817,0.3534756,3,OK,69.357,-37.308,-1997.812,OK,84.751,61.229,-1990.490,OK,4.713,30.031,-2007.121,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,76447699,1736963728.318375913,1,OK,0.9988757,-0.0240337,0.0201869,0.0355288,176.452,-209.149,-2071.769,0.2833157,3,OK,176.597,-209.421,-2071.761,OK,148.790,-300.875,-2066.154,OK,86.763,-215.399,-2067.988,Passive Strays,76447699,1736963728.318,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
