Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 0x01: JJH Probe  s/n:3E4C880C,38430913,1736330115.218406467,1,OK,0.8263104,0.4512269,0.0985560,0.3223230,198.292,126.074,-1909.715,0.3554561,3,OK,104.425,49.959,-1927.207,OK,25.581,-13.882,-1940.766,OK,6.417,-46.910,-1964.896,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38430913,1736330115.218406467,1,OK,0.9022930,0.0435168,-0.0077095,-0.4288521,84.780,238.701,-1790.582,0.3059081,3,OK,84.894,238.462,-1790.593,OK,109.765,334.424,-1782.385,OK,26.085,311.140,-1788.371,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38430913,1736330115.218406467,1,OK,0.9985543,0.0099891,0.0522711,0.0075612,164.130,59.167,-1874.758,0.2606210,3,OK,164.420,59.135,-1874.789,OK,131.129,-31.052,-1873.026,OK,74.708,57.549,-1865.387,Passive Strays,38430913,1736330115.218,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38430916,1736330115.268406467,1,OK,0.8251769,0.4528919,0.0998667,0.3224882,198.282,126.121,-1909.781,0.3040640,3,OK,104.498,49.866,-1927.208,OK,25.700,-14.029,-1940.610,OK,6.576,-47.074,-1964.884,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38430916,1736330115.268406467,1,OK,0.9022941,0.0433783,-0.0078049,-0.4288622,84.796,238.703,-1790.610,0.3107493,3,OK,84.908,238.459,-1790.621,OK,109.777,334.430,-1782.444,OK,26.108,311.146,-1788.426,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38430916,1736330115.268406467,1,OK,0.9985866,0.0099908,0.0516529,0.0075462,164.154,59.161,-1874.724,0.2593518,3,OK,164.439,59.128,-1874.754,OK,131.145,-31.051,-1873.034,OK,74.729,57.543,-1865.465,Passive Strays,38430916,1736330115.268,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38430919,1736330115.318406467,1,OK,0.8275058,0.4489484,0.0979963,0.3226085,198.374,126.044,-1909.909,0.4235367,3,OK,104.515,49.886,-1927.323,OK,25.718,-14.039,-1940.913,OK,6.594,-47.065,-1964.817,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38430919,1736330115.318406467,1,OK,0.9023122,0.0432944,-0.0078294,-0.4288321,84.790,238.705,-1790.574,0.3056504,3,OK,84.903,238.460,-1790.586,OK,109.774,334.439,-1782.425,OK,26.089,311.143,-1788.402,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38430919,1736330115.318406467,1,OK,0.9985422,0.0104209,0.0524164,0.0075711,164.138,59.170,-1874.750,0.2641976,3,OK,164.432,59.134,-1874.782,OK,131.138,-31.046,-1873.087,OK,74.713,57.547,-1865.354,Passive Strays,38430919,1736330115.318,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38430922,1736330115.368406467,1,OK,0.8257868,0.4519560,0.0988755,0.3225455,198.266,126.121,-1909.816,0.3295799,3,OK,104.446,49.942,-1927.351,OK,25.628,-13.918,-1940.891,OK,6.507,-46.948,-1965.108,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38430922,1736330115.368406467,1,OK,0.9022861,0.0436187,-0.0076577,-0.4288573,84.778,238.695,-1790.610,0.3023465,3,OK,84.885,238.454,-1790.622,OK,109.768,334.424,-1782.391,OK,26.085,311.127,-1788.382,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38430922,1736330115.368406467,1,OK,0.9985410,0.0102937,0.0524692,0.0075447,164.131,59.171,-1874.748,0.2612226,3,OK,164.421,59.141,-1874.779,OK,131.122,-31.046,-1873.057,OK,74.716,57.549,-1865.343,Passive Strays,38430922,1736330115.368,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38430925,1736330115.418406467,1,OK,0.8260905,0.4512608,0.0985413,0.3228432,198.318,126.110,-1909.875,0.3643332,3,OK,104.521,49.897,-1927.441,OK,25.752,-14.012,-1941.056,OK,6.652,-47.024,-1965.193,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38430925,1736330115.418406467,1,OK,0.9022973,0.0432936,-0.0081055,-0.4288585,84.784,238.695,-1790.557,0.3040851,3,OK,84.892,238.451,-1790.569,OK,109.772,334.432,-1782.418,OK,26.092,311.133,-1788.431,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38430925,1736330115.418406467,1,OK,0.9985378,0.0101129,0.0525676,0.0075286,164.134,59.165,-1874.795,0.2647099,3,OK,164.429,59.137,-1874.827,OK,131.122,-31.050,-1873.065,OK,74.719,57.545,-1865.372,Passive Strays,38430925,1736330115.418,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38430928,1736330115.468406467,1,OK,0.8267160,0.4498362,0.0977179,0.3234799,198.349,126.067,-1909.843,0.3974043,3,OK,104.612,49.799,-1927.506,OK,25.922,-14.176,-1941.258,OK,6.869,-47.211,-1965.311,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38430928,1736330115.468406467,1,OK,0.9022785,0.0439283,-0.0078681,-0.4288378,84.806,238.709,-1790.661,0.3025812,3,OK,84.918,238.471,-1790.673,OK,109.788,334.428,-1782.390,OK,26.106,311.143,-1788.444,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38430928,1736330115.468406467,1,OK,0.9985543,0.0103056,0.0522114,0.0075587,164.146,59.173,-1874.744,0.2624793,3,OK,164.432,59.138,-1874.775,OK,131.138,-31.035,-1873.073,OK,74.730,57.546,-1865.385,Passive Strays,38430928,1736330115.468,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38430931,1736330115.518406467,1,OK,0.8250311,0.4521717,0.0991162,0.3240995,198.279,126.160,-1910.008,0.3346355,3,OK,104.711,49.690,-1927.706,OK,26.109,-14.405,-1941.375,OK,7.133,-47.448,-1965.639,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38430931,1736330115.518406467,1,OK,0.9023112,0.0434031,-0.0074915,-0.4288294,84.784,238.690,-1790.591,0.3086417,3,OK,84.895,238.447,-1790.603,OK,109.762,334.419,-1782.409,OK,26.089,311.124,-1788.353,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38430931,1736330115.518406467,1,OK,0.9985176,0.0102662,0.0529188,0.0075383,164.129,59.167,-1874.769,0.2720732,3,OK,164.432,59.134,-1874.802,OK,131.121,-31.042,-1873.043,OK,74.711,57.542,-1865.282,Passive Strays,38430931,1736330115.518,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38430934,1736330115.568406467,1,OK,0.8259680,0.4503713,0.0974622,0.3247211,198.290,126.085,-1909.692,0.3758189,3,OK,104.753,49.655,-1927.603,OK,26.195,-14.464,-1941.543,OK,7.245,-47.524,-1965.720,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38430934,1736330115.568406467,1,OK,0.9022713,0.0437101,-0.0080318,-0.4288723,84.789,238.689,-1790.551,0.3087948,3,OK,84.905,238.448,-1790.562,OK,109.772,334.408,-1782.329,OK,26.098,311.136,-1788.378,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38430934,1736330115.568406467,1,OK,0.9985228,0.0104049,0.0527824,0.0076141,164.128,59.169,-1874.788,0.2697091,3,OK,164.432,59.137,-1874.821,OK,131.135,-31.053,-1873.098,OK,74.704,57.535,-1865.326,Passive Strays,38430934,1736330115.568,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38430937,1736330115.618406467,1,OK,0.8257080,0.4511396,0.0978998,0.3241837,198.295,126.087,-1909.770,0.3534620,3,OK,104.688,49.710,-1927.614,OK,26.061,-14.332,-1941.447,OK,7.090,-47.371,-1965.675,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38430937,1736330115.618406467,1,OK,0.9022670,0.0435115,-0.0078175,-0.4289054,84.785,238.698,-1790.617,0.3073273,3,OK,84.899,238.461,-1790.628,OK,109.777,334.416,-1782.426,OK,26.099,311.146,-1788.424,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38430937,1736330115.618406467,1,OK,0.9985079,0.0099402,0.0531576,0.0075765,164.117,59.163,-1874.804,0.2733767,3,OK,164.421,59.130,-1874.838,OK,131.119,-31.047,-1873.004,OK,74.703,57.533,-1865.274,Passive Strays,38430937,1736330115.618,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38430940,1736330115.668406467,1,OK,0.8265629,0.4499363,0.0969696,0.3239569,198.317,126.057,-1909.653,0.3817548,3,OK,104.631,49.791,-1927.532,OK,25.958,-14.185,-1941.448,OK,6.958,-47.222,-1965.588,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38430940,1736330115.668406467,1,OK,0.9023116,0.0436131,-0.0075747,-0.4288057,84.814,238.697,-1790.601,0.3083323,3,OK,84.926,238.454,-1790.613,OK,109.786,334.423,-1782.381,OK,26.115,311.128,-1788.360,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38430940,1736330115.668406467,1,OK,0.9985524,0.0099178,0.0523289,0.0075177,164.155,59.154,-1874.750,0.2596548,3,OK,164.439,59.118,-1874.780,OK,131.146,-31.054,-1873.001,OK,74.741,57.541,-1865.370,Passive Strays,38430940,1736330115.668,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
