Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 0x01: JJH Probe  s/n:3E4C880C,38655319,1736333855.318457029,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38655319,1736333855.318457029,1,OK,0.8569017,0.1911912,-0.1305013,-0.4605810,47.466,225.608,-1809.044,0.3946140,3,OK,47.456,225.333,-1809.113,OK,74.951,315.144,-1775.934,OK,-2.626,303.957,-1813.269,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38655319,1736333855.318457029,1,OK,0.9986659,0.0157836,0.0438217,-0.0222936,158.044,56.955,-1871.246,0.2352016,3,OK,158.288,56.878,-1871.270,OK,119.667,-31.116,-1870.861,OK,68.562,60.696,-1863.317,Passive Strays,38655319,1736333855.318,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38655322,1736333855.368457029,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38655322,1736333855.368457029,1,OK,0.8569738,0.1909384,-0.1303156,-0.4606042,47.467,225.612,-1809.039,0.4033644,3,OK,47.462,225.331,-1809.106,OK,74.957,315.154,-1775.976,OK,-2.624,303.967,-1813.252,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38655322,1736333855.368457029,1,OK,0.9986575,0.0157953,0.0440229,-0.0222634,158.037,56.953,-1871.279,0.2394599,3,OK,158.286,56.876,-1871.303,OK,119.664,-31.117,-1870.881,OK,68.553,60.686,-1863.314,Passive Strays,38655322,1736333855.368,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38655325,1736333855.418457029,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38655325,1736333855.418457029,1,OK,0.8568598,0.1912379,-0.1305980,-0.4606122,47.477,225.612,-1809.031,0.3916537,3,OK,47.469,225.336,-1809.099,OK,74.969,315.144,-1775.912,OK,-2.610,303.968,-1813.267,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38655325,1736333855.418457029,1,OK,0.9986736,0.0153200,0.0438361,-0.0222414,158.045,56.960,-1871.309,0.2416614,3,OK,158.300,56.888,-1871.334,OK,119.676,-31.114,-1870.841,OK,68.557,60.690,-1863.380,Passive Strays,38655325,1736333855.418,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38655328,1736333855.468457029,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38655328,1736333855.468457029,1,OK,0.8569825,0.1908826,-0.1303498,-0.4606015,47.467,225.609,-1809.022,0.4046367,3,OK,47.462,225.333,-1809.088,OK,74.955,315.153,-1775.972,OK,-2.619,303.963,-1813.244,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38655328,1736333855.468457029,1,OK,0.9986460,0.0158962,0.0442507,-0.0222563,158.036,56.958,-1871.268,0.2323344,3,OK,158.276,56.879,-1871.291,OK,119.669,-31.117,-1870.872,OK,68.562,60.693,-1863.262,Passive Strays,38655328,1736333855.468,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38655331,1736333855.518457029,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38655331,1736333855.518457029,1,OK,0.8568608,0.1911896,-0.1305348,-0.4606482,47.452,225.609,-1809.020,0.3937624,3,OK,47.444,225.333,-1809.088,OK,74.950,315.137,-1775.910,OK,-2.630,303.968,-1813.248,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38655331,1736333855.518457029,1,OK,0.9986683,0.0159248,0.0437315,-0.0222613,158.031,56.960,-1871.235,0.2328331,3,OK,158.275,56.889,-1871.259,OK,119.656,-31.115,-1870.882,OK,68.551,60.694,-1863.323,Passive Strays,38655331,1736333855.518,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38655334,1736333855.568457029,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38655334,1736333855.568457029,1,OK,0.8569929,0.1909609,-0.1301352,-0.4606104,47.470,225.613,-1809.067,0.4059770,3,OK,47.462,225.335,-1809.136,OK,74.960,315.153,-1775.995,OK,-2.622,303.960,-1813.248,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38655334,1736333855.568457029,1,OK,0.9986558,0.0160604,0.0439645,-0.0222649,158.043,56.953,-1871.219,0.2331799,3,OK,158.282,56.872,-1871.242,OK,119.673,-31.118,-1870.873,OK,68.562,60.691,-1863.263,Passive Strays,38655334,1736333855.568,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38655337,1736333855.618457029,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38655337,1736333855.618457029,1,OK,0.8569551,0.1910212,-0.1303251,-0.4606019,47.477,225.612,-1809.053,0.3988698,3,OK,47.468,225.334,-1809.121,OK,74.969,315.153,-1775.971,OK,-2.617,303.961,-1813.262,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38655337,1736333855.618457029,1,OK,0.9986557,0.0157243,0.0440971,-0.0222501,158.043,56.959,-1871.296,0.2346743,3,OK,158.286,56.880,-1871.320,OK,119.677,-31.115,-1870.881,OK,68.563,60.694,-1863.318,Passive Strays,38655337,1736333855.618,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38655340,1736333855.668457029,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38655340,1736333855.668457029,1,OK,0.8568793,0.1913654,-0.1304183,-0.4605738,47.477,225.608,-1809.044,0.3980550,3,OK,47.469,225.328,-1809.113,OK,74.952,315.134,-1775.900,OK,-2.619,303.959,-1813.239,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38655340,1736333855.668457029,1,OK,0.9986360,0.0160249,0.0444424,-0.0222318,158.036,56.955,-1871.305,0.2412293,3,OK,158.292,56.882,-1871.331,OK,119.668,-31.123,-1870.918,OK,68.552,60.682,-1863.264,Passive Strays,38655340,1736333855.668,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38655343,1736333855.718457029,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38655343,1736333855.718457029,1,OK,0.8569750,0.1908360,-0.1302891,-0.4606520,47.452,225.603,-1808.987,0.4057429,3,OK,47.446,225.327,-1809.053,OK,74.951,315.144,-1775.943,OK,-2.627,303.959,-1813.201,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38655343,1736333855.718457029,1,OK,0.9986698,0.0163561,0.0435317,-0.0222749,158.036,56.949,-1871.181,0.2297665,3,OK,158.273,56.871,-1871.204,OK,119.661,-31.122,-1870.919,OK,68.554,60.688,-1863.302,Passive Strays,38655343,1736333855.718,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,38655346,1736333855.768457029,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,38655346,1736333855.768457029,1,OK,0.8570019,0.1910542,-0.1299796,-0.4605989,47.477,225.611,-1809.057,0.4123755,3,OK,47.467,225.326,-1809.128,OK,74.958,315.149,-1775.964,OK,-2.619,303.955,-1813.203,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,38655346,1736333855.768457029,1,OK,0.9986488,0.0162914,0.0440785,-0.0221853,158.031,56.958,-1871.269,0.2353826,3,OK,158.278,56.880,-1871.293,OK,119.673,-31.124,-1870.956,OK,68.545,60.681,-1863.292,Passive Strays,38655346,1736333855.768,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
