Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
4,Port 0x01: JJH Probe  s/n:3E4C880C,40076107,1736357535.118421405,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,40076107,1736357535.118421405,1,OK,0.8704964,0.1661561,-0.1409251,-0.4413255,44.125,231.241,-1814.022,0.4256563,3,OK,44.106,230.948,-1814.083,OK,68.441,323.604,-1786.663,OK,-8.638,307.364,-1823.006,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,40076107,1736357535.118421405,1,OK,0.9991765,0.0137484,0.0381609,0.0010012,163.110,57.697,-1873.327,0.1744746,3,OK,163.279,57.608,-1873.342,OK,128.925,-32.115,-1873.179,OK,73.484,57.360,-1866.476,Passive Strays,40076107,1736357535.118,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,40076110,1736357535.168421405,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,40076110,1736357535.168421405,1,OK,0.8705291,0.1659416,-0.1410722,-0.4412949,44.118,231.230,-1813.954,0.4223454,3,OK,44.103,230.939,-1814.013,OK,68.437,323.603,-1786.641,OK,-8.648,307.353,-1822.984,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,40076110,1736357535.168421405,1,OK,0.9991780,0.0138970,0.0380676,0.0010551,163.096,57.692,-1873.326,0.1765843,3,OK,163.269,57.602,-1873.342,OK,128.923,-32.127,-1873.213,OK,73.461,57.351,-1866.492,Passive Strays,40076110,1736357535.168,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,40076113,1736357535.218421398,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,40076113,1736357535.218421398,1,OK,0.8705025,0.1657192,-0.1415581,-0.4412752,44.121,231.224,-1813.933,0.4194602,3,OK,44.119,230.927,-1813.988,OK,68.442,323.605,-1786.681,OK,-8.636,307.365,-1823.063,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,40076113,1736357535.218421398,1,OK,0.9991762,0.0140662,0.0380514,0.0010878,163.108,57.692,-1873.275,0.1761624,3,OK,163.279,57.601,-1873.290,OK,128.938,-32.126,-1873.193,OK,73.477,57.340,-1866.444,Passive Strays,40076113,1736357535.218,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,40076116,1736357535.268421398,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,40076116,1736357535.268421398,1,OK,0.8705538,0.1657288,-0.1412231,-0.4412777,44.126,231.233,-1813.947,0.4199414,3,OK,44.115,230.943,-1814.004,OK,68.449,323.614,-1786.681,OK,-8.639,307.358,-1823.021,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,40076116,1736357535.268421398,1,OK,0.9991723,0.0141688,0.0381162,0.0010503,163.114,57.700,-1873.299,0.1735337,3,OK,163.280,57.607,-1873.315,OK,128.940,-32.115,-1873.231,OK,73.486,57.357,-1866.457,Passive Strays,40076116,1736357535.268,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,40076119,1736357535.318421398,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,40076119,1736357535.318421398,1,OK,0.8704903,0.1659385,-0.1413907,-0.4412706,44.121,231.225,-1813.970,0.4161510,3,OK,44.110,230.934,-1814.027,OK,68.438,323.599,-1786.667,OK,-8.642,307.353,-1823.055,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,40076119,1736357535.318421398,1,OK,0.9991577,0.0140676,0.0385357,0.0010350,163.100,57.695,-1873.294,0.1798034,3,OK,163.276,57.603,-1873.311,OK,128.925,-32.122,-1873.179,OK,73.467,57.355,-1866.376,Passive Strays,40076119,1736357535.318,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,40076122,1736357535.368421405,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,40076122,1736357535.368421405,1,OK,0.8704604,0.1657481,-0.1416407,-0.4413210,44.106,231.216,-1813.905,0.4118137,3,OK,44.098,230.926,-1813.961,OK,68.444,323.597,-1786.644,OK,-8.642,307.354,-1823.047,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,40076122,1736357535.368421405,1,OK,0.9991864,0.0138412,0.0378667,0.0010483,163.104,57.692,-1873.308,0.1749501,3,OK,163.273,57.603,-1873.324,OK,128.926,-32.121,-1873.198,OK,73.474,57.347,-1866.511,Passive Strays,40076122,1736357535.368,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,40076125,1736357535.418421405,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,40076125,1736357535.418421405,1,OK,0.8705614,0.1656406,-0.1412275,-0.4412945,44.127,231.234,-1813.945,0.4213347,3,OK,44.117,230.945,-1814.001,OK,68.454,323.616,-1786.697,OK,-8.633,307.361,-1823.026,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,40076125,1736357535.418421405,1,OK,0.9991796,0.0138824,0.0380321,0.0010175,163.120,57.692,-1873.338,0.1714104,3,OK,163.285,57.606,-1873.353,OK,128.933,-32.119,-1873.223,OK,73.500,57.348,-1866.511,Passive Strays,40076125,1736357535.418,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,40076128,1736357535.468421398,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,40076128,1736357535.468421398,1,OK,0.8703890,0.1660570,-0.1417904,-0.4412976,44.106,231.218,-1813.929,0.4075496,3,OK,44.099,230.924,-1813.986,OK,68.434,323.590,-1786.612,OK,-8.646,307.360,-1823.072,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,40076128,1736357535.468421398,1,OK,0.9991743,0.0140885,0.0380938,0.0010071,163.109,57.684,-1873.344,0.1729000,3,OK,163.278,57.595,-1873.359,OK,128.925,-32.134,-1873.262,OK,73.479,57.349,-1866.505,Passive Strays,40076128,1736357535.468,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,40076131,1736357535.518421398,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,40076131,1736357535.518421398,1,OK,0.8705477,0.1656346,-0.1412597,-0.4413135,44.123,231.229,-1813.936,0.4238759,3,OK,44.116,230.934,-1813.993,OK,68.452,323.610,-1786.690,OK,-8.634,307.364,-1823.022,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,40076131,1736357535.518421398,1,OK,0.9991754,0.0138530,0.0381509,0.0010133,163.117,57.695,-1873.379,0.1742150,3,OK,163.289,57.609,-1873.395,OK,128.932,-32.120,-1873.251,OK,73.490,57.355,-1866.531,Passive Strays,40076131,1736357535.518,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
4,Port 0x01: JJH Probe  s/n:3E4C880C,40076134,1736357535.568421398,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,3,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Missing,-3.697314E28,-3.697314E28,-3.697314E28,Port 0x02: JJH Y femur tracker  s/n:3E4C8801,40076134,1736357535.568421398,1,OK,0.8705097,0.1658644,-0.1412651,-0.4413005,44.118,231.231,-1813.935,0.4200524,3,OK,44.106,230.939,-1813.993,OK,68.441,323.606,-1786.643,OK,-8.642,307.360,-1823.003,Port 0x03: JJH T tibia tracker  s/n:3E4C8800,40076134,1736357535.568421398,1,OK,0.9991754,0.0139474,0.0381188,0.0010111,163.102,57.687,-1873.313,0.1701030,3,OK,163.268,57.602,-1873.328,OK,128.917,-32.129,-1873.204,OK,73.480,57.348,-1866.471,Passive Strays,40076134,1736357535.568,1,OK,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
