Tools,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Passive Strays,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506241016,1729171216.935204901,1,OK,-0.8588110,-2.0319919,-14.4851905,79.919,-136.190,-1910.605,0.0992171,3,OK,79.895,-136.205,-1910.602,OK,43.549,-222.781,-1889.327,OK,-9.784,-134.739,-1913.816,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506241016,1729171216.935204901,1,OK,-45.1776364,2.1972352,3.7265987,14.684,29.763,-1843.052,0.1381961,3,OK,14.817,29.732,-1843.052,OK,30.591,127.453,-1835.600,OK,-51.039,95.946,-1839.471,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506241016,1729171216.935204901,1,OK,41.8074724,50.2976904,76.0499397,15.989,-30.615,-1954.161,0.3538171,3,OK,-43.149,-83.178,-1861.864,OK,-92.396,-127.350,-1782.789,OK,-120.297,-160.098,-1768.070,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506241017,1729171216.951871568,1,OK,-0.8639550,-2.0403998,-14.4598931,79.938,-136.185,-1910.510,0.0949693,3,OK,79.918,-136.183,-1910.510,OK,43.546,-222.792,-1889.273,OK,-9.757,-134.734,-1913.731,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506241017,1729171216.951871568,1,OK,-45.1798569,2.2785643,3.7160590,14.689,29.775,-1843.148,0.1457365,3,OK,14.831,29.736,-1843.148,OK,30.605,127.459,-1835.628,OK,-51.033,95.966,-1839.434,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506241017,1729171216.951871568,1,OK,41.7938717,50.3530496,75.9670839,15.945,-30.690,-1954.268,0.3935710,3,OK,-43.108,-83.150,-1861.925,OK,-92.349,-127.308,-1782.767,OK,-120.228,-160.059,-1767.948,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506241018,1729171216.968538234,1,OK,-0.8512724,-2.0603780,-14.4327984,79.927,-136.187,-1910.480,0.0930367,3,OK,79.900,-136.201,-1910.477,OK,43.556,-222.797,-1889.300,OK,-9.767,-134.754,-1913.733,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506241018,1729171216.968538234,1,OK,-45.1762162,2.3014067,3.6983680,14.696,29.758,-1843.134,0.1407385,3,OK,14.831,29.728,-1843.134,OK,30.602,127.437,-1835.616,OK,-51.016,95.939,-1839.383,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506241018,1729171216.968538234,1,OK,41.8031084,50.3228686,75.9984915,16.007,-30.604,-1954.141,0.3641570,3,OK,-43.100,-83.129,-1861.803,OK,-92.329,-127.288,-1782.733,OK,-120.214,-160.035,-1767.941,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506241019,1729171216.985204901,1,OK,-0.8484159,-2.0874815,-14.4892738,79.925,-136.184,-1910.492,0.1041370,3,OK,79.898,-136.193,-1910.490,OK,43.549,-222.790,-1889.238,OK,-9.774,-134.745,-1913.790,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506241019,1729171216.985204901,1,OK,-45.1797992,2.2598853,3.7312556,14.697,29.758,-1843.074,0.1365086,3,OK,14.828,29.722,-1843.074,OK,30.604,127.445,-1835.552,OK,-51.007,95.943,-1839.391,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506241019,1729171216.985204901,1,OK,41.8028620,50.3401046,76.0304768,15.969,-30.620,-1954.174,0.3646370,3,OK,-43.112,-83.123,-1861.833,OK,-92.330,-127.262,-1782.688,OK,-120.227,-160.016,-1767.933,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506241020,1729171217.001871567,1,OK,-0.8526669,-2.0933927,-14.5554763,79.933,-136.184,-1910.514,0.1039218,3,OK,79.909,-136.190,-1910.514,OK,43.544,-222.764,-1889.164,OK,-9.765,-134.739,-1913.822,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506241020,1729171217.001871567,1,OK,-45.1769176,2.3091244,3.7137152,14.698,29.774,-1843.138,0.1401275,3,OK,14.832,29.739,-1843.139,OK,30.604,127.456,-1835.591,OK,-51.010,95.957,-1839.375,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506241020,1729171217.001871567,1,OK,41.7688717,50.3435426,75.9618966,15.982,-30.659,-1954.195,0.3836596,3,OK,-43.117,-83.113,-1861.841,OK,-92.365,-127.244,-1782.750,OK,-120.267,-159.987,-1767.898,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506241021,1729171217.018538234,1,OK,-0.8658313,-2.0423587,-14.4719628,79.920,-136.196,-1910.555,0.1016951,3,OK,79.895,-136.205,-1910.553,OK,43.534,-222.795,-1889.301,OK,-9.781,-134.732,-1913.782,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506241021,1729171217.018538234,1,OK,-45.1769436,2.2560164,3.7324791,14.679,29.761,-1843.142,0.1395270,3,OK,14.815,29.728,-1843.142,OK,30.591,127.448,-1835.621,OK,-51.044,95.943,-1839.465,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506241021,1729171217.018538234,1,OK,41.7681980,50.3422351,76.0225530,15.937,-30.650,-1954.215,0.3789073,3,OK,-43.162,-83.104,-1861.884,OK,-92.420,-127.228,-1782.726,OK,-120.337,-159.967,-1767.953,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506241022,1729171217.035204901,1,OK,-0.8536319,-2.0763601,-14.4529042,79.929,-136.173,-1910.473,0.0963920,3,OK,79.900,-136.189,-1910.469,OK,43.550,-222.776,-1889.271,OK,-9.766,-134.733,-1913.752,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506241022,1729171217.035204901,1,OK,-45.1779617,2.2624646,3.7227672,14.691,29.765,-1843.124,0.1423607,3,OK,14.829,29.726,-1843.124,OK,30.599,127.451,-1835.611,OK,-51.026,95.953,-1839.436,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506241022,1729171217.035204901,1,OK,41.7579892,50.3521287,75.9797061,15.926,-30.663,-1954.229,0.3940415,3,OK,-43.162,-83.086,-1861.883,OK,-92.429,-127.215,-1782.741,OK,-120.336,-159.944,-1767.907,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506241023,1729171217.051871567,1,OK,-0.8636838,-2.0367334,-14.4897942,79.952,-136.190,-1910.612,0.0999668,3,OK,79.936,-136.195,-1910.612,OK,43.567,-222.785,-1889.328,OK,-9.753,-134.733,-1913.830,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506241023,1729171217.051871567,1,OK,-45.1786434,2.2655525,3.7326912,14.706,29.765,-1843.062,0.1357805,3,OK,14.837,29.739,-1843.062,OK,30.618,127.447,-1835.532,OK,-51.007,95.945,-1839.370,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506241023,1729171217.051871567,1,OK,41.7427785,50.3729803,75.9322701,15.946,-30.709,-1954.290,0.4006963,3,OK,-43.126,-83.090,-1861.913,OK,-92.381,-127.189,-1782.770,OK,-120.292,-159.929,-1767.878,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506241024,1729171217.068538234,1,OK,-0.8559711,-2.0484936,-14.5230053,79.925,-136.190,-1910.550,0.0984340,3,OK,79.895,-136.193,-1910.550,OK,43.544,-222.776,-1889.222,OK,-9.766,-134.746,-1913.785,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506241024,1729171217.068538234,1,OK,-45.1775089,2.2138420,3.7471944,14.702,29.765,-1843.095,0.1452637,3,OK,14.842,29.727,-1843.095,OK,30.603,127.450,-1835.597,OK,-51.019,95.957,-1839.486,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506241024,1729171217.068538234,1,OK,41.7693151,50.3486730,75.9474999,16.005,-30.607,-1954.142,0.3669799,3,OK,-43.095,-83.066,-1861.784,OK,-92.327,-127.170,-1782.652,OK,-120.221,-159.929,-1767.857,Passive Strays,,,,,,,,,,,,
4,Port 0x01: pooter pooter-3e4c8800-0  s/n:3E4C8800,1506241025,1729171217.085204901,1,OK,-0.8608480,-2.0140484,-14.5037257,79.917,-136.199,-1910.575,0.0991217,3,OK,79.891,-136.207,-1910.574,OK,43.545,-222.788,-1889.256,OK,-9.782,-134.746,-1913.757,Port 0x03: pooter pooter-3e4c8801-1  s/n:3E4C8801,1506241025,1729171217.085204901,1,OK,-45.1805088,2.1927430,3.7442448,14.685,29.763,-1843.054,0.1415974,3,OK,14.821,29.733,-1843.054,OK,30.592,127.448,-1835.582,OK,-51.034,95.954,-1839.480,Port 0x05: pooter pooter-3e4c880c-12  s/n:3E4C880C,1506241025,1729171217.085204901,1,OK,41.7631815,50.3447830,75.8464817,16.056,-30.609,-1954.112,0.3693600,3,OK,-43.061,-83.072,-1861.728,OK,-92.286,-127.180,-1782.693,OK,-120.154,-159.942,-1767.804,Passive Strays,,,,,,,,,,,,
